X1,X2,X3,X4,X5,X6,X7,X8,X9,X10,X11,X12,X13,X14,X15,X16,X17,X18,X19,X20,X21,X22,X23,target_id,run_id
[0.01789375 0.01789375],[0.0059781 0.0059781],[0.01259531 0.01259531],[0.00086757 0.00086757],[0.01378473 0.01378473],[0.00825567 0.00825567],[0.02771924 0.02771924],[0.01602258 0.01602257],[0.01509503 0.01509503],[0.00925327 0.00925327],[0.00917732 0.00917732],[0.01113161 0.01113161],[0.00163781 0.00163781],[0.02583144 0.02583144],[0.00056353 0.00056353],[0.00045054 0.00045054],[0.0154292 0.0154292],[0.00990215 0.00990215],[0.00196046 0.00196046],[0.00942053 0.00942053],[0.00452303 0.00452303],[0.00470367 0.00470367],[0.01358855 0.01358855],0,0
[0.01642888 0.01642888],[0.00291838 0.00291838],[0.0118704 0.0118704],[0.00048962 0.00048962],[0.01123627 0.01123627],[0.02138361 0.02138361],[0.02366028 0.02366028],[0.00770683 0.00770683],[0.01342906 0.01342906],[0.00721007 0.00721007],[0.0034758 0.0034758],[0.00138691 0.00138691],[0.00127938 0.00127938],[0.01403858 0.01403858],[0.01115581 0.01115581],[0.01284658 0.01284659],[0.01726326 0.01726326],[0.01462225 0.01462225],[0.00057021 0.00057021],[0.00541661 0.00541661],[0.02345886 0.02345886],[0.00711804 0.00711804],[0.02064121 0.02064121],0,1
[0.02128839 0.02128839],[9.06112416e-05 9.06114092e-05],[0.01169305 0.01169305],[0.00304702 0.00304702],[0.00855833 0.00855833],[0.02048301 0.02048301],[0.02203228 0.02203228],[0.01926117 0.01926117],[0.01033602 0.01033602],[0.0065883 0.0065883],[0.01348185 0.01348185],[0.02027641 0.02027641],[0.00770629 0.00770629],[0.01185467 0.01185467],[0.00105295 0.00105295],[0.00443836 0.00443836],[0.01897338 0.01897338],[0.01049451 0.01049451],[0.00857957 0.00857957],[0.0164535 0.0164535],[0.01668851 0.01668851],[0.00805388 0.00805388],[0.01695987 0.01695987],0,2
[0.01502083 0.01502083],[0.0048495 0.0048495],[0.01065855 0.01065855],[0.00167217 0.00167217],[0.01201994 0.01201994],[0.01796968 0.01796968],[0.0243837 0.0243837],[0.00956001 0.00956001],[0.01202578 0.01202578],[0.0065757 0.0065757],[0.00355991 0.00355991],[0.00649659 0.00649659],[0.00106074 0.00106074],[0.01523672 0.01523672],[0.00647745 0.00647745],[0.0032022 0.0032022],[0.01784861 0.01784861],[0.01706064 0.01706064],[0.01080668 0.01080668],[0.01153899 0.01153899],[0.01036195 0.01036195],[0.01140566 0.01140566],[0.01622624 0.01622624],0,3
[0.01670655 0.01670655],[0.00345551 0.00345551],[0.01018789 0.01018789],[7.88154093e-06 7.88165245e-06],[0.01072821 0.01072821],[0.02257173 0.02257173],[0.02276443 0.02276443],[0.01435122 0.01435122],[0.01167421 0.01167421],[0.00619188 0.00619188],[0.00401041 0.00401041],[0.00068989 0.00068989],[0.00984105 0.00984105],[0.00750279 0.00750279],[0.00466056 0.00466056],[0.00574405 0.00574405],[0.01577752 0.01577752],[0.02554242 0.02554242],[0.00088095 0.00088095],[0.00944607 0.00944607],[0.01766864 0.01766864],[0.00363077 0.00363077],[0.01959273 0.01959273],0,4
[0.02215305 0.02215305],[0.00473028 0.00473028],[0.00370637 0.00370637],[0.00069081 0.00069081],[0.00433842 0.00433842],[0.03349136 0.03349136],[0.00884512 0.00884512],[0.00344549 0.00344549],[0.00439505 0.00439505],[0.00142683 0.00142683],[0.00403552 0.00403552],[0.03158747 0.03158747],[0.0165512 0.0165512],[0.01275633 0.01275633],[0.01564526 0.01564526],[0.00879435 0.00879435],[0.00216178 0.00216178],[0.04927829 0.04927829],[0.02553977 0.02553977],[0.03596799 0.03596799],[0.03010061 0.03010061],[0.03832962 0.03832962],[0.00996845 0.00996845],1,0
[0.02665709 0.02665709],[0.00033022 0.00033022],[0.00413369 0.00413369],[0.00229132 0.00229132],[0.00811516 0.00811516],[0.03384422 0.03384422],[0.00605786 0.00605786],[0.00101965 0.00101965],[0.00466802 0.00466802],[0.00166282 0.00166282],[0.00462999 0.00462999],[0.04291808 0.04291808],[0.01688501 0.01688501],[0.02162165 0.02162165],[0.01955461 0.01955461],[0.00971487 0.00971487],[0.00709271 0.00709271],[0.05998308 0.05998309],[0.03164914 0.03164914],[0.03501502 0.03501502],[0.02587727 0.02587727],[0.04835988 0.04835988],[0.02849921 0.02849921],1,1
[0.02131469 0.02131469],[0.00287367 0.00287367],[0.00268853 0.00268853],[0.00217478 0.00217478],[0.0084113 0.0084113],[0.03304533 0.03304533],[0.00707779 0.00707779],[0.00190225 0.00190225],[0.00170973 0.00170973],[0.00171685 0.00171685],[0.00253651 0.00253651],[0.0337585 0.0337585],[0.01206243 0.01206243],[0.02035869 0.02035869],[0.01587631 0.01587631],[0.01179454 0.01179454],[0.01141546 0.01141546],[0.04467302 0.04467302],[0.02277041 0.02277041],[0.01998524 0.01998524],[0.03122794 0.03122794],[0.03623782 0.03623782],[0.0140692 0.0140692],1,2
[0.01961848 0.01961848],[0.00060533 0.00060533],[0.004634 0.004634],[0.0003283 0.0003283],[0.00473289 0.00473289],[0.04117486 0.04117486],[0.00933584 0.00933584],[0.00191522 0.00191522],[0.00528884 0.00528884],[0.00038894 0.00038894],[0.00254294 0.00254294],[0.03808957 0.03808957],[0.01917306 0.01917306],[0.02214227 0.02214227],[0.01546702 0.01546702],[0.00836057 0.00836057],[0.00108579 0.00108579],[0.02275664 0.02275664],[0.01851764 0.01851764],[0.04206406 0.04206406],[0.01735381 0.01735381],[0.03938409 0.03938409],[0.00946387 0.00946387],1,3
[0.02033604 0.02033604],[0.00244098 0.00244098],[0.00384517 0.00384517],[0.00176712 0.00176712],[0.00614637 0.00614637],[0.04024733 0.04024733],[0.00930132 0.00930132],[0.00293199 0.00293199],[0.00257731 0.00257731],[0.00270473 0.00270473],[0.00277748 0.00277748],[0.03116036 0.03116036],[0.0128986 0.0128986],[0.01428086 0.01428086],[0.01565968 0.01565968],[0.00474308 0.00474308],[0.00010769 0.00010769],[0.03285554 0.03285554],[0.02474404 0.02474404],[0.02596376 0.02596376],[0.02975122 0.02975122],[0.03910453 0.03910453],[0.01256563 0.01256563],1,4
