X1,X2,X3,X4,X5,X6,X7,X8,X9,X10,X11,X12,X13,X14,X15,X16,X17,X18,X19,X20,X21,X22,X23,target_id,run_id
[0.00266775 0.00266775],[0.00032492 0.00032492],[0.00469018 0.00469018],[0.00136801 0.00136801],[0.00478464 0.00478464],[0.00410224 0.00410224],[0.00766976 0.00766976],[0.01262025 0.01262025],[0.02044448 0.02044448],[0.00577645 0.00577645],[0.00350473 0.00350473],[0.00325554 0.00325555],[0.016644 0.016644],[0.00075074 0.00075074],[0.00491207 0.00491207],[0.00265505 0.00265505],[0.00080648 0.00080648],[0.04255415 0.04255416],[0.04450248 0.04450248],[0.0155161 0.0155161],[0.00998225 0.00998225],[0.00683157 0.00683157],[0.00439122 0.00439122],0,0
[0.00281559 0.00281559],[0.00049496 0.00049496],[0.00586833 0.00586833],[0.0021736 0.0021736],[0.00139551 0.00139551],[0.00317165 0.00317165],[0.00481875 0.00481875],[0.01637123 0.01637123],[0.01681661 0.01681661],[0.00797842 0.00797842],[0.00057212 0.00057212],[0.01733315 0.01733315],[0.01918881 0.01918881],[0.0003232 0.0003232],[0.00307156 0.00307156],[0.01176903 0.01176903],[0.00295561 0.00295561],[0.05198716 0.05198716],[0.0470443 0.0470443],[0.01669907 0.01669907],[0.01371589 0.01371589],[0.00284254 0.00284254],[0.01022028 0.01022028],0,1
[0.00184795 0.00184795],[0.0020873 0.0020873],[0.0070514 0.0070514],[0.00348898 0.00348898],[0.00508814 0.00508814],[0.00621598 0.00621598],[0.00517356 0.00517356],[0.0059954 0.0059954],[0.0220626 0.0220626],[0.01363012 0.01363012],[0.00164582 0.00164582],[0.0053568 0.0053568],[0.00567388 0.00567388],[0.00140098 0.00140098],[0.00206041 0.00206041],[0.00057255 0.00057255],[4.13482319e-05 4.13478314e-05],[0.05680708 0.05680708],[0.03470881 0.03470881],[0.01307783 0.01307784],[0.00568061 0.00568061],[0.00572748 0.00572748],[0.00676788 0.00676788],0,2
[0.00257625 0.00257625],[0.00305609 0.00305609],[0.00607033 0.00607033],[0.00247483 0.00247483],[0.00469751 0.00469751],[0.00332684 0.00332684],[0.01482597 0.01482597],[0.00293379 0.00293379],[0.02059849 0.02059849],[0.00802159 0.00802159],[0.00449902 0.00449902],[0.01770578 0.01770578],[0.00231921 0.00231921],[0.0031919 0.0031919],[0.00236794 0.00236794],[0.00602052 0.00602052],[0.00102779 0.00102779],[0.04478167 0.04478167],[0.02277697 0.02277697],[0.01310727 0.01310727],[0.0140841 0.0140841],[0.01244986 0.01244986],[0.00653392 0.00653392],0,3
[0.00602783 0.00602783],[0.00147798 0.00147798],[0.00461404 0.00461404],[0.00621367 0.00621367],[0.0074131 0.0074131],[0.00019181 0.00019181],[0.01134899 0.01134899],[0.0087331 0.0087331],[0.01804945 0.01804945],[0.00495117 0.00495117],[0.00604259 0.00604259],[0.00572028 0.00572028],[0.01249564 0.01249564],[0.00223573 0.00223573],[7.61352211e-05 7.61354452e-05],[0.00174497 0.00174497],[0.0180291 0.0180291],[0.03165661 0.03165661],[0.04620066 0.04620067],[0.00520506 0.00520506],[0.00929644 0.00929644],[0.01565712 0.01565712],[0.00552097 0.00552097],0,4
[0.00270078 0.00270078],[0.00884982 0.00884982],[0.02623196 0.02623196],[0.00119888 0.00119888],[0.01095879 0.01095879],[0.00921095 0.00921095],[0.01234938 0.01234938],[0.03249949 0.03249949],[0.06146566 0.06146566],[0.07139079 0.07139079],[0.04910489 0.04910489],[0.01096636 0.01096636],[0.01140656 0.01140656],[0.00731402 0.00731402],[0.00532306 0.00532306],[0.00796882 0.00796882],[0.00028608 0.00028608],[0.0034606 0.0034606],[0.03037212 0.03037212],[0.00591242 0.00591242],[0.00727458 0.00727458],[0.00303403 0.00303403],[0.00589784 0.00589784],1,0
[0.00287144 0.00287144],[0.0090281 0.0090281],[0.02348201 0.02348201],[0.00090535 0.00090535],[0.01187862 0.01187862],[0.00834299 0.00834299],[0.01263423 0.01263423],[0.03282525 0.03282525],[0.0641768 0.0641768],[0.07541044 0.07541044],[0.05036058 0.05036058],[0.01079321 0.01079321],[0.01264458 0.01264458],[0.01143121 0.01143121],[0.00365009 0.00365009],[0.00663884 0.00663884],[0.00622645 0.00622645],[0.00455583 0.00455583],[0.0267984 0.0267984],[0.00335155 0.00335155],[0.00740672 0.00740672],[0.00439529 0.00439529],[0.00294717 0.00294717],1,1
[0.00281696 0.00281696],[0.01009607 0.01009607],[0.02411898 0.02411898],[0.0010697 0.0010697],[0.01063379 0.01063379],[0.00917264 0.00917264],[0.01267501 0.01267501],[0.02919215 0.02919215],[0.06610098 0.06610098],[0.07210792 0.07210792],[0.04907447 0.04907447],[0.01008358 0.01008358],[0.00996322 0.00996322],[0.00737207 0.00737207],[0.00574572 0.00574572],[0.00557866 0.00557866],[0.00175373 0.00175373],[0.00583448 0.00583448],[0.03072807 0.03072807],[0.00545407 0.00545407],[0.00648389 0.00648389],[0.00321383 0.00321383],[0.00094614 0.00094614],1,2
[0.00332237 0.00332237],[0.00779077 0.00779077],[0.02622258 0.02622258],[0.00016786 0.00016786],[0.00951826 0.00951826],[0.0095823 0.0095823],[0.01197111 0.01197111],[0.03106788 0.03106788],[0.05681959 0.05681959],[0.07001525 0.07001525],[0.05883577 0.05883577],[0.01171266 0.01171266],[0.01466153 0.01466153],[0.01120303 0.01120303],[0.00229126 0.00229126],[0.00726041 0.00726041],[0.00073794 0.00073794],[0.01087043 0.01087043],[0.02475178 0.02475178],[0.00328587 0.00328587],[0.0104843 0.0104843],[0.00547218 0.00547218],[0.00614481 0.00614481],1,3
[0.00277568 0.00277568],[0.00898238 0.00898238],[0.02483811 0.02483811],[0.00025642 0.00025642],[0.00855529 0.00855529],[0.00922223 0.00922223],[0.01476434 0.01476434],[0.02757427 0.02757427],[0.06071327 0.06071327],[0.06712021 0.06712021],[0.04707414 0.04707413],[0.01000206 0.01000206],[0.00884236 0.00884236],[0.00663084 0.00663084],[0.00723897 0.00723897],[0.00666267 0.00666267],[0.00058629 0.00058629],[0.00220213 0.00220213],[0.02523319 0.02523319],[0.00364884 0.00364884],[0.01114229 0.01114229],[0.00620519 0.00620519],[0.00712591 0.00712591],1,4
