X1,X2,X3,X4,X5,X6,X7,X8,X9,X10,X11,X12,X13,X14,X15,X16,X17,X18,X19,X20,X21,X22,X23,target_id,run_id
[0.01669648 0.01669648],[0.00191723 0.00191723],[0.00053831 0.00053831],[0.00093822 0.00093822],[0.00026555 0.00026555],[0.00291265 0.00291265],[0.00031411 0.00031411],[0.0004318 0.0004318],[0.00060165 0.00060165],[0.15061772 0.15061772],[0.03577428 0.03577428],[0.00766487 0.00766487],[0.0026584 0.0026584],[0.00339743 0.00339743],[0.00714537 0.00714537],[0.00396876 0.00396876],[0.00897233 0.00897233],[0.0139513 0.0139513],[0.00250368 0.00250368],[0.00077468 0.00077468],[0.00840056 0.00840056],[0.00205611 0.00205611],[0.00205739 0.00205739],0,0
[0.01719605 0.01719605],[0.00205192 0.00205192],[0.00077025 0.00077025],[0.00223255 0.00223255],[0.00046193 0.00046193],[0.00268236 0.00268236],[0.00056263 0.00056263],[8.15150568e-05 8.15152179e-05],[0.00057066 0.00057066],[0.15104884 0.15104884],[0.03241563 0.03241563],[0.00527154 0.00527154],[0.00075452 0.00075452],[0.00275315 0.00275315],[0.0075743 0.0075743],[0.00533149 0.00533149],[0.01088193 0.01088193],[0.01248658 0.01248658],[0.00079368 0.00079368],[0.00345039 0.00345039],[0.00990659 0.00990659],[0.00235412 0.00235412],[0.00199977 0.00199977],0,1
[0.01950367 0.01950367],[0.00151989 0.00151989],[0.00042163 0.00042163],[0.00105823 0.00105823],[0.00051411 0.00051411],[0.00209744 0.00209744],[0.00196792 0.00196792],[0.00049301 0.00049301],[0.00031046 0.00031046],[0.16246984 0.16246984],[0.027299 0.027299],[0.00605642 0.00605642],[0.00186797 0.00186797],[0.0041687 0.0041687],[0.00809076 0.00809076],[0.00612803 0.00612803],[0.00742617 0.00742617],[0.0118381 0.0118381],[0.01827978 0.01827978],[0.00383305 0.00383305],[0.00767247 0.00767247],[0.00168425 0.00168425],[0.00117632 0.00117632],0,2
[0.01456804 0.01456804],[0.0017465 0.0017465],[0.00061952 0.00061952],[0.0010696 0.0010696],[0.00077773 0.00077773],[0.00473159 0.00473159],[0.00037756 0.00037756],[0.00027739 0.00027739],[0.0006431 0.0006431],[0.14170114 0.14170113],[0.02926381 0.02926381],[0.00282839 0.00282839],[0.00130441 0.00130441],[0.00493489 0.00493489],[0.00790836 0.00790836],[0.00364285 0.00364285],[0.00980447 0.00980447],[0.0021668 0.0021668],[0.00161465 0.00161465],[0.00138934 0.00138934],[0.00369754 0.00369754],[0.00641968 0.00641968],[0.00314854 0.00314854],0,3
[0.01761475 0.01761475],[0.00171124 0.00171124],[0.00042786 0.00042786],[0.00101149 0.00101149],[0.00065942 0.00065942],[0.00188343 0.00188343],[0.00061448 0.00061448],[0.00061449 0.00061449],[0.00014166 0.00014166],[0.16342889 0.16342889],[0.02852223 0.02852223],[0.00489766 0.00489766],[0.00155746 0.00155746],[0.00561807 0.00561807],[0.00770321 0.00770321],[0.00663427 0.00663427],[0.00915344 0.00915344],[0.01194782 0.01194782],[0.01641557 0.01641557],[0.00488757 0.00488757],[0.00764632 0.00764632],[0.00072802 0.00072802],[0.00066526 0.00066526],0,4
[0.03071288 0.03071288],[0.00063419 0.00063419],[2.97738537e-05 2.97738915e-05],[0.00029666 0.00029666],[0.00191337 0.00191337],[0.00841667 0.00841667],[0.02907143 0.02907144],[0.0014701 0.0014701],[0.00046234 0.00046234],[0.01216226 0.01216226],[0.03059258 0.03059258],[0.00456654 0.00456654],[0.00016498 0.00016498],[0.00035857 0.00035857],[0.01463373 0.01463373],[0.01163434 0.01163434],[0.01007865 0.01007865],[0.02015788 0.02015789],[0.00117451 0.00117451],[0.00551685 0.00551685],[0.00753435 0.00753435],[0.00543696 0.00543696],[0.00266331 0.00266331],1,0
[0.02915322 0.02915322],[0.00157704 0.00157704],[1.96470481e-06 1.96473068e-06],[0.00029959 0.00029959],[1.0053362e-05 1.0052946e-05],[0.00846064 0.00846064],[0.02502525 0.02502525],[0.00225613 0.00225613],[0.00044588 0.00044588],[0.00990287 0.00990287],[0.0309752 0.0309752],[0.00412055 0.00412055],[0.00022409 0.00022409],[0.00200461 0.00200461],[0.01490747 0.01490747],[0.01166512 0.01166512],[0.00943906 0.00943906],[0.02114052 0.02114052],[0.00121355 0.00121355],[0.00808813 0.00808813],[0.00736469 0.00736469],[0.00216826 0.00216826],[0.00113311 0.00113311],1,1
[0.03843265 0.03843265],[0.00058895 0.00058895],[0.00025206 0.00025206],[0.00027105 0.00027105],[0.00173254 0.00173254],[0.00699854 0.00699854],[0.03505244 0.03505244],[0.00184138 0.00184138],[7.05916320e-05 7.05916507e-05],[0.00561527 0.00561528],[0.0261335 0.0261335],[0.00048632 0.00048632],[0.00290195 0.00290195],[0.00248787 0.00248787],[0.00916818 0.00916818],[0.0105513 0.0105513],[0.00916807 0.00916807],[0.02288468 0.02288468],[0.01632773 0.01632773],[0.01231814 0.01231814],[7.71837370e-05 7.71837256e-05],[0.00170804 0.00170804],[0.00216001 0.00216001],1,2
[0.03874854 0.03874854],[0.00241926 0.00241926],[0.00180272 0.00180272],[0.000382 0.000382],[0.00327927 0.00327927],[0.0072019 0.0072019],[0.03412196 0.03412196],[0.0011074 0.0011074],[0.00020934 0.00020934],[0.01064143 0.01064143],[0.03349409 0.03349409],[0.00026266 0.00026266],[0.00071984 0.00071984],[0.00276059 0.00276059],[0.01086647 0.01086647],[0.01250055 0.01250055],[0.01221961 0.01221961],[0.02339342 0.02339342],[0.01187162 0.01187162],[0.00957897 0.00957897],[0.00752664 0.00752664],[0.00012195 0.00012195],[0.00027022 0.00027022],1,3
[0.03147677 0.03147677],[0.00163094 0.00163094],[0.00034392 0.00034392],[0.0003546 0.0003546],[0.00132251 0.00132251],[0.00401965 0.00401965],[0.0306196 0.0306196],[0.00150876 0.00150876],[0.00044691 0.00044691],[0.01573154 0.01573154],[0.02634768 0.02634768],[0.0054525 0.0054525],[0.00415068 0.00415068],[0.00265612 0.00265612],[0.01196882 0.01196882],[0.01171399 0.01171399],[0.01146063 0.01146063],[0.01777661 0.01777661],[0.00649526 0.00649526],[0.0072994 0.0072994],[0.00080303 0.00080303],[0.0023888 0.0023888],[0.00255985 0.00255985],1,4
[0.00272131 0.00272131],[0.00486613 0.00486613],[0.00041923 0.00041923],[0.00090894 0.00090894],[0.02215193 0.02215193],[0.00236191 0.00236191],[0.00292159 0.00292159],[0.00482396 0.00482396],[0.00364028 0.00364028],[0.00426092 0.00426092],[0.00112846 0.00112846],[5.28341449e-05 5.28341261e-05],[0.00291905 0.00291905],[0.00614758 0.00614758],[0.00071744 0.00071744],[0.00692478 0.00692478],[0.00185687 0.00185687],[0.0259104 0.0259104],[0.01410378 0.01410378],[0.0078583 0.0078583],[0.00522128 0.00522128],[0.00089131 0.00089131],[0.00231325 0.00231325],2,0
[0.00074747 0.00074747],[0.00471432 0.00471432],[8.53176701e-06 8.53174994e-06],[0.00119005 0.00119005],[0.03908323 0.03908323],[0.00222952 0.00222952],[0.00396225 0.00396225],[0.00511097 0.00511097],[0.00267325 0.00267325],[0.00498302 0.00498302],[0.00157549 0.00157549],[0.00481869 0.00481869],[0.00038326 0.00038326],[0.00338577 0.00338577],[0.00300792 0.00300792],[0.00281963 0.00281963],[0.00135662 0.00135662],[0.02578509 0.02578509],[0.01019137 0.01019137],[0.01011425 0.01011425],[0.00914674 0.00914674],[0.00342096 0.00342096],[0.00051691 0.00051691],2,1
[0.00222981 0.00222981],[0.00591386 0.00591386],[0.00013715 0.00013715],[0.00104211 0.00104211],[0.03920116 0.03920116],[0.00229028 0.00229028],[0.00305054 0.00305054],[0.00598343 0.00598343],[0.00424635 0.00424635],[0.00613719 0.00613719],[0.00199985 0.00199984],[0.00234969 0.00234969],[0.00252622 0.00252622],[0.002493 0.002493],[0.00057323 0.00057323],[0.00188361 0.00188361],[0.00229003 0.00229003],[0.02183413 0.02183413],[0.0098393 0.0098393],[0.0108269 0.0108269],[0.0062027 0.0062027],[0.00453183 0.00453183],[0.0005889 0.0005889],2,2
[0.00148564 0.00148564],[0.00585187 0.00585187],[0.00048786 0.00048786],[0.00116321 0.00116321],[0.02678917 0.02678917],[0.00157232 0.00157232],[0.00381361 0.00381361],[0.00611361 0.00611361],[0.00330818 0.00330818],[0.00685469 0.00685469],[0.00086029 0.00086029],[0.00128592 0.00128592],[0.00138044 0.00138044],[0.00296504 0.00296504],[0.0009421 0.0009421],[0.00503436 0.00503436],[7.14974469e-05 7.14971306e-05],[0.01689519 0.0168952 ],[0.00680056 0.00680056],[0.00942768 0.00942768],[0.00178338 0.00178338],[0.00147528 0.00147528],[0.00316131 0.00316131],2,3
[6.34162353e-05 6.34162362e-05],[0.00468579 0.00468579],[0.0005979 0.0005979],[0.00150857 0.00150857],[0.03755778 0.03755778],[0.00254243 0.00254243],[0.00338655 0.00338655],[0.00519613 0.00519613],[0.00309766 0.00309766],[0.00640253 0.00640253],[0.00135794 0.00135794],[0.00225566 0.00225566],[0.00060897 0.00060897],[0.00247008 0.00247008],[0.00031021 0.00031021],[0.00200887 0.00200887],[0.00035492 0.00035492],[0.02138401 0.02138402],[0.00653816 0.00653816],[0.00980694 0.00980694],[0.00092747 0.00092747],[0.00326873 0.00326873],[0.0024406 0.0024406],2,4
[0.00595067 0.00595067],[0.00524581 0.00524581],[8.19837580e-05 8.19838375e-05],[0.00408568 0.00408568],[0.00518247 0.00518247],[0.01437241 0.01437241],[0.00109392 0.00109392],[0.00028173 0.00028173],[0.00196914 0.00196914],[0.00216728 0.00216728],[0.0051127 0.0051127],[0.02011191 0.02011191],[0.00556536 0.00556536],[0.00282438 0.00282438],[0.00268835 0.00268835],[0.00439407 0.00439407],[0.00531435 0.00531435],[0.00775714 0.00775715],[0.00149008 0.00149008],[0.0093853 0.0093853],[0.00744282 0.00744283],[0.00359906 0.00359906],[0.00368984 0.00368984],3,0
[0.00524854 0.00524854],[0.00338783 0.00338783],[0.00326845 0.00326845],[0.00135669 0.00135669],[0.00391522 0.00391522],[0.00817937 0.00817938],[0.00333762 0.00333762],[0.00241037 0.00241037],[0.00025321 0.00025321],[0.00134635 0.00134635],[0.00650293 0.00650293],[0.01450067 0.01450067],[0.00152155 0.00152155],[0.00557091 0.00557091],[0.0006872 0.0006872],[0.00188584 0.00188584],[0.00703421 0.00703421],[0.01888128 0.01888128],[0.00055199 0.00055199],[0.00776774 0.00776775],[0.00749081 0.00749081],[0.00275837 0.00275837],[0.00080223 0.00080223],3,1
[0.00142489 0.00142489],[0.00395516 0.00395516],[0.00046955 0.00046955],[4.53198897e-05 4.53199573e-05],[0.0061254 0.0061254],[0.01501876 0.01501876],[0.00123955 0.00123955],[0.00073661 0.00073661],[0.00056335 0.00056335],[0.00496684 0.00496684],[0.00306617 0.00306617],[0.003955 0.003955],[0.00021305 0.00021305],[0.00676506 0.00676506],[0.00160512 0.00160512],[0.00542723 0.00542723],[0.002207 0.002207],[0.00895647 0.00895647],[0.01378372 0.01378372],[0.0076849 0.0076849],[0.00107035 0.00107035],[0.00089751 0.00089751],[0.00160971 0.00160971],3,2
[0.00102438 0.00102438],[0.00658489 0.00658489],[0.00261374 0.00261374],[0.00528481 0.00528481],[0.00693599 0.00693599],[0.01020835 0.01020835],[0.00233593 0.00233593],[0.0016578 0.0016578],[0.00091618 0.00091618],[0.00061839 0.00061839],[0.00445918 0.00445918],[0.01458038 0.01458038],[0.00364052 0.00364052],[0.00520902 0.00520902],[0.00188098 0.00188098],[0.00064506 0.00064506],[0.0056198 0.0056198],[0.00495636 0.00495636],[0.00443375 0.00443375],[0.00960867 0.00960868],[0.00447851 0.00447851],[0.00442123 0.00442123],[0.00026006 0.00026006],3,3
[0.00481575 0.00481575],[0.00417819 0.00417819],[0.0002069 0.0002069],[0.00076033 0.00076033],[0.0070027 0.0070027],[0.00662107 0.00662107],[0.0037878 0.0037878],[0.00053373 0.00053373],[1.96278565e-05 1.96281536e-05],[0.00015492 0.00015492],[0.00619998 0.00619998],[0.01910526 0.01910526],[0.00132462 0.00132462],[0.0013924 0.0013924],[0.00508204 0.00508204],[6.94042340e-05 6.94044648e-05],[0.00893496 0.00893496],[0.01046508 0.01046509],[6.84191932e-05 6.84201254e-05],[0.00595974 0.00595974],[0.00784772 0.00784772],[0.00583277 0.00583277],[0.00057376 0.00057376],3,4
[0.00563857 0.00563857],[0.00525855 0.00525855],[0.00169594 0.00169594],[0.00047284 0.00047284],[0.00354096 0.00354096],[0.0015866 0.0015866],[0.00298049 0.00298049],[0.00249322 0.00249322],[0.00132112 0.00132112],[0.00156467 0.00156467],[0.00318289 0.00318289],[0.0280633 0.0280633],[0.00359564 0.00359564],[0.00908299 0.00908299],[0.0021886 0.0021886],[0.00768152 0.00768152],[0.00278593 0.00278592],[0.00496266 0.00496266],[0.00014877 0.00014877],[0.00324772 0.00324772],[0.00634613 0.00634613],[0.00358105 0.00358105],[0.00117614 0.00117614],4,0
[0.00485863 0.00485863],[0.0063662 0.0063662],[0.00110154 0.00110154],[0.00193733 0.00193733],[0.00014152 0.00014152],[0.00543316 0.00543316],[0.00018492 0.00018492],[0.00088932 0.00088932],[0.00082031 0.00082031],[0.00286162 0.00286162],[0.00462756 0.00462756],[0.02305703 0.02305703],[0.01125042 0.01125042],[0.00918649 0.00918649],[0.00055544 0.00055544],[0.00639703 0.00639703],[0.00328354 0.00328354],[0.00415749 0.00415749],[0.00040911 0.00040911],[0.00415041 0.00415041],[0.00292861 0.00292861],[0.00059698 0.00059698],[0.00041422 0.00041423],4,1
[0.0061992 0.0061992],[0.00476165 0.00476165],[0.00064885 0.00064885],[0.00066077 0.00066077],[0.00299591 0.00299591],[0.00349234 0.00349234],[0.00071005 0.00071005],[0.00170627 0.00170627],[0.00029418 0.00029418],[0.00197986 0.00197986],[0.00422318 0.00422318],[0.01743395 0.01743395],[0.01713549 0.01713549],[0.01185451 0.01185451],[0.00057315 0.00057315],[6.09244410e-05 6.09244493e-05],[0.00335124 0.00335124],[0.00861956 0.00861956],[0.00054544 0.00054544],[0.00478778 0.00478778],[0.00227185 0.00227185],[0.00232614 0.00232614],[9.84777163e-05 9.84774246e-05],4,2
[0.00431575 0.00431575],[0.0064956 0.0064956],[0.00196525 0.00196525],[0.0004251 0.0004251],[0.00115107 0.00115107],[0.00393327 0.00393327],[0.0006185 0.0006185],[0.00045338 0.00045338],[0.00040052 0.00040052],[0.00234054 0.00234054],[0.00331516 0.00331516],[0.02127211 0.02127211],[0.0128095 0.0128095],[0.0008496 0.0008496],[0.00171101 0.00171101],[0.00061574 0.00061574],[0.00367212 0.00367212],[0.00290114 0.00290114],[0.00216026 0.00216026],[0.00731544 0.00731544],[0.00110547 0.00110547],[0.00248548 0.00248548],[0.0015975 0.0015975],4,3
