X1,X2,X3,X4,X5,X6,X7,X8,X9,X10,X11,X12,X13,X14,X15,X16,X17,X18,X19,X20,X21,X22,X23,target_id,run_id
[0.01009573 0.01009573],[0.01140314 0.01140314],[0.0052397 0.0052397],[0.00471019 0.00471019],[0.00010853 0.00010853],[0.03443227 0.03443227],[0.05734858 0.05734858],[0.03728395 0.03728395],[0.03144812 0.03144812],[0.06861976 0.06861976],[0.02637417 0.02637417],[0.00166904 0.00166904],[0.00817315 0.00817315],[0.00116316 0.00116316],[0.00333863 0.00333863],[0.00356511 0.00356511],[0.00616259 0.00616259],[0.00686624 0.00686624],[0.01046321 0.01046321],[0.00215362 0.00215362],[0.00532124 0.00532124],[0.01309395 0.01309395],[0.02059343 0.02059343],2,0
[0.01076291 0.01076291],[0.01129738 0.01129738],[0.00474902 0.00474902],[0.00524397 0.00524397],[0.00244396 0.00244396],[0.0343315 0.0343315],[0.06463113 0.06463113],[0.04047364 0.04047364],[0.03390953 0.03390953],[0.06656482 0.06656482],[0.02834673 0.02834673],[0.00119994 0.00119994],[0.00950875 0.00950875],[0.00157594 0.00157594],[0.00341218 0.00341218],[0.00343926 0.00343926],[0.00690159 0.00690159],[0.00680612 0.00680612],[0.00704541 0.00704541],[0.00219451 0.00219451],[0.00433638 0.00433638],[0.00849748 0.00849748],[0.02111031 0.02111031],2,1
[0.01085007 0.01085007],[0.01291475 0.01291475],[0.0066625 0.0066625],[0.00495155 0.00495155],[0.00094843 0.00094843],[0.03488812 0.03488812],[0.05485208 0.05485208],[0.0399773 0.0399773],[0.03482358 0.03482358],[0.06595814 0.06595814],[0.03073666 0.03073666],[0.00122062 0.00122062],[0.01076848 0.01076848],[0.00264766 0.00264766],[0.00382783 0.00382783],[0.00574395 0.00574395],[0.00582778 0.00582778],[0.00450096 0.00450096],[0.01216686 0.01216686],[0.00063973 0.00063973],[0.0012492 0.0012492],[0.01485456 0.01485456],[0.02138509 0.02138509],2,2
[0.01089328 0.01089328],[0.01136474 0.01136474],[0.00495087 0.00495087],[0.00537435 0.00537435],[0.00053522 0.00053522],[0.03477326 0.03477326],[0.05731621 0.05731621],[0.03981142 0.03981142],[0.03220946 0.03220946],[0.06725183 0.06725183],[0.03330912 0.03330912],[0.00267023 0.00267023],[0.00895503 0.00895503],[0.00102636 0.00102636],[0.00302021 0.00302021],[0.00112011 0.00112011],[0.00752167 0.00752167],[0.00952912 0.00952912],[0.00821767 0.00821767],[0.00312421 0.00312421],[0.00614954 0.00614954],[0.00545897 0.00545897],[0.02388799 0.02388799],2,3
[0.01224813 0.01224813],[0.01396041 0.01396041],[0.00529178 0.00529178],[0.00553374 0.00553374],[0.00203089 0.00203089],[0.03229844 0.03229844],[0.05728937 0.05728937],[0.04139352 0.04139352],[0.03342787 0.03342787],[0.066644 0.066644],[0.03563694 0.03563694],[0.00287034 0.00287034],[0.01183813 0.01183813],[0.00232053 0.00232053],[0.00476345 0.00476345],[0.00506898 0.00506898],[0.00738762 0.00738762],[0.00828676 0.00828676],[0.00919411 0.00919411],[0.00734271 0.00734271],[0.00183617 0.00183617],[0.00838693 0.00838693],[0.02631137 0.02631137],2,4
[0.01289643 0.01289643],[0.00101835 0.00101835],[0.00040136 0.00040136],[0.00264043 0.00264043],[0.0152291 0.0152291],[0.05405802 0.05405802],[0.03026429 0.03026429],[0.01325149 0.01325149],[0.01914102 0.01914102],[0.00768826 0.00768826],[0.02489335 0.02489335],[0.01728638 0.01728638],[0.00064997 0.00064997],[0.01048898 0.01048898],[0.00754649 0.00754649],[0.00702044 0.00702044],[0.01015608 0.01015608],[0.01618841 0.01618841],[0.00987497 0.00987497],[0.02594817 0.02594817],[0.00086119 0.00086119],[0.01687336 0.01687336],[0.00992807 0.00992807],3,0
[0.02529671 0.02529671],[0.00394449 0.00394449],[0.00257722 0.00257722],[0.00131704 0.00131704],[0.0132066 0.0132066],[0.04230544 0.04230544],[0.03066326 0.03066326],[0.01404572 0.01404572],[0.01730536 0.01730536],[0.01854767 0.01854767],[0.02076935 0.02076935],[0.00886801 0.00886801],[0.00169677 0.00169677],[0.0073097 0.0073097],[0.00151878 0.00151878],[0.00489189 0.00489189],[0.00344936 0.00344936],[0.00042501 0.00042501],[0.00046265 0.00046265],[0.03874745 0.03874745],[0.00232111 0.00232111],[0.01864574 0.01864574],[0.01218682 0.01218682],3,1
[0.01343873 0.01343873],[0.00319146 0.00319146],[0.00025498 0.00025498],[0.00022325 0.00022325],[0.01076431 0.01076431],[0.05008316 0.05008316],[0.03386821 0.03386821],[0.01740937 0.01740937],[0.02726486 0.02726486],[0.01261348 0.01261348],[0.0165283 0.0165283],[0.00540357 0.00540357],[0.00549974 0.00549974],[0.01076052 0.01076052],[0.00055069 0.00055069],[0.00717884 0.00717884],[0.0090006 0.0090006],[0.02849014 0.02849014],[0.00821206 0.00821206],[0.03300555 0.03300555],[0.01374945 0.01374945],[0.00138218 0.00138217],[0.00610173 0.00610173],3,2
[0.01645253 0.01645253],[0.00516953 0.00516953],[0.00400867 0.00400867],[0.00062896 0.00062896],[0.01393404 0.01393404],[0.04390287 0.04390287],[0.02343412 0.02343412],[0.02035367 0.02035367],[0.02555401 0.02555401],[0.00961191 0.00961191],[0.01693727 0.01693727],[0.01813978 0.01813978],[0.0017791 0.0017791],[0.01276371 0.01276371],[0.00592812 0.00592812],[0.00689764 0.00689764],[0.00313714 0.00313714],[0.01640304 0.01640304],[0.00901611 0.00901611],[0.00697349 0.00697349],[0.00112475 0.00112475],[0.01590897 0.01590897],[0.00736055 0.00736055],3,3
[0.01473402 0.01473402],[0.00360846 0.00360846],[0.00234904 0.00234904],[0.00290621 0.00290621],[0.01190158 0.01190158],[0.04612813 0.04612813],[0.02826431 0.02826431],[0.01614533 0.01614533],[0.02199133 0.02199133],[0.00990724 0.00990724],[0.01380388 0.01380388],[0.01478233 0.01478233],[0.00218873 0.00218873],[0.0026821 0.0026821],[0.00106084 0.00106084],[0.00571958 0.00571958],[0.01273388 0.01273388],[0.02681282 0.02681282],[0.01270992 0.01270992],[0.02737561 0.02737561],[0.00986261 0.00986261],[0.01302285 0.01302285],[0.00488189 0.0048819 ],3,4
