X1,X2,X3,X4,X5,X6,X7,X8,X9,X10,X11,X12,X13,X14,X15,X16,X17,X18,X19,X20,X21,X22,X23,target_id,run_id
[0.00837307 0.00837307],[0.00135958 0.00135958],[0.0011304 0.0011304],[0.00253125 0.00253125],[0.0030392 0.0030392],[0.04332597 0.04332597],[0.01450311 0.01450311],[0.00627322 0.00627322],[0.01828431 0.01828431],[0.00837096 0.00837096],[0.00468009 0.00468009],[0.01715163 0.01715163],[0.00089697 0.00089697],[0.01636623 0.01636623],[0.01260388 0.01260388],[0.00168108 0.00168108],[0.02417389 0.02417389],[0.00203894 0.00203894],[0.01001609 0.01001609],[0.02579697 0.02579697],[0.03544139 0.03544139],[0.02191644 0.02191644],[0.00794106 0.00794106],0,0
[0.0175562 0.0175562],[0.00263769 0.00263769],[0.00742491 0.00742491],[0.00288146 0.00288146],[0.00110718 0.00110718],[0.01393886 0.01393887],[0.01913591 0.01913591],[0.01191418 0.01191418],[0.02649993 0.02649993],[0.01380465 0.01380465],[0.01864039 0.01864039],[0.00553468 0.00553468],[0.00052448 0.00052448],[0.01491017 0.01491017],[0.01414936 0.01414936],[0.0028362 0.0028362],[0.01488259 0.01488259],[0.00382775 0.00382775],[0.02216773 0.02216773],[0.02832616 0.02832616],[0.0197999 0.0197999],[0.00341263 0.00341263],[0.00401374 0.00401374],0,1
[0.01983904 0.01983904],[0.00294397 0.00294397],[0.0070128 0.0070128],[0.00181208 0.00181208],[0.00661787 0.00661787],[0.02006255 0.02006255],[0.0302743 0.0302743],[0.0112842 0.0112842],[0.01817162 0.01817162],[0.01285514 0.01285514],[0.01434515 0.01434515],[0.00902702 0.00902702],[0.01277697 0.01277697],[0.00754075 0.00754075],[0.0132841 0.0132841],[0.00640451 0.00640451],[0.00950286 0.00950286],[0.00874347 0.00874347],[0.00526391 0.00526391],[0.01150902 0.01150902],[0.00644295 0.00644295],[0.00163999 0.00163999],[0.0086671 0.0086671],0,2
[0.01255468 0.01255468],[0.0010252 0.0010252],[0.00386671 0.00386671],[0.00151537 0.00151537],[0.00499705 0.00499705],[0.04597578 0.04597578],[0.01337011 0.01337011],[0.01185696 0.01185696],[0.01303782 0.01303782],[0.00242359 0.00242359],[0.00616002 0.00616002],[0.00686277 0.00686277],[0.01367551 0.01367551],[0.01618358 0.01618358],[0.00188121 0.00188121],[0.00328231 0.00328231],[0.02541752 0.02541752],[8.36935548e-05 8.36932661e-05],[0.01731652 0.01731652],[0.01612291 0.01612291],[0.0024604 0.0024604],[0.00866664 0.00866664],[0.00352275 0.00352275],0,3
[0.01704307 0.01704307],[0.00294074 0.00294074],[0.0049073 0.0049073],[0.00429682 0.00429682],[0.00886938 0.00886938],[0.04010012 0.04010012],[0.02269319 0.02269319],[0.01419118 0.01419118],[0.01938376 0.01938376],[0.00212774 0.00212774],[0.00997515 0.00997515],[0.00222615 0.00222615],[0.00761012 0.00761012],[0.01797645 0.01797645],[0.00713023 0.00713023],[0.01395551 0.01395551],[0.01359547 0.01359547],[0.01141165 0.01141165],[0.01547892 0.01547892],[0.02495044 0.02495044],[0.02868054 0.02868054],[0.00027803 0.00027803],[0.0039381 0.0039381],0,4
[0.01064643 0.01064643],[0.00227906 0.00227906],[0.0013544 0.0013544],[0.00544943 0.00544943],[0.00687081 0.00687081],[0.03758433 0.03758433],[0.02993318 0.02993318],[0.01456467 0.01456467],[0.01217837 0.01217837],[0.01087518 0.01087518],[0.00574004 0.00574004],[0.01005863 0.01005863],[0.00986211 0.00986211],[0.0118244  0.01182441],[0.00224697 0.00224697],[0.00322649 0.00322649],[0.00395948 0.00395948],[0.00876677 0.00876677],[0.00344774 0.00344774],[0.01375392 0.01375392],[0.01748087 0.01748087],[0.01648754 0.01648754],[0.01607299 0.01607299],1,0
[0.01292689 0.01292689],[0.00684934 0.00684934],[0.00029821 0.00029821],[0.00258294 0.00258294],[0.01022536 0.01022536],[0.04565937 0.04565937],[0.02917015 0.02917015],[0.01799269 0.01799269],[0.01103786 0.01103786],[0.00529471 0.00529471],[0.01035962 0.01035962],[0.01527458 0.01527458],[0.01104412 0.01104412],[0.01540075 0.01540075],[0.00228719 0.00228719],[0.00842379 0.00842379],[0.00658994 0.00658994],[0.00641613 0.00641613],[0.00201051 0.00201051],[0.01138413 0.01138413],[0.01803041 0.01803041],[0.01663559 0.01663559],[0.01578086 0.01578086],1,1
[0.00970793 0.00970793],[0.00201048 0.00201048],[0.00170472 0.00170472],[0.00388324 0.00388324],[0.01130582 0.01130582],[0.04530291 0.04530291],[0.02462895 0.02462895],[0.01959296 0.01959296],[0.01459653 0.01459653],[0.008548 0.008548],[0.00663065 0.00663065],[0.01321098 0.01321098],[0.01245695 0.01245695],[0.00882952 0.00882952],[0.00281755 0.00281755],[0.00735541 0.00735541],[0.00975387 0.00975387],[0.00588161 0.00588161],[0.00872652 0.00872652],[0.00545839 0.00545839],[0.01678602 0.01678602],[0.01334164 0.01334164],[0.01819727 0.01819727],1,2
[0.02224055 0.02224055],[0.0010416 0.0010416],[0.00073565 0.00073565],[0.00502168 0.00502168],[0.01115039 0.01115039],[0.03684935 0.03684935],[0.02946523 0.02946523],[0.02063893 0.02063893],[0.01108931 0.01108931],[0.00877153 0.00877153],[0.00782627 0.00782627],[0.00735692 0.00735692],[0.0122837 0.0122837],[0.0053294 0.0053294],[0.00082231 0.00082231],[0.00692552 0.00692552],[0.0106286 0.0106286],[0.01112223 0.01112223],[9.57419520e-06 9.57395665e-06],[0.01135681 0.01135681],[0.01313943 0.01313943],[0.01403532 0.01403532],[0.0084269 0.0084269],1,3
[0.01287385 0.01287385],[0.00376183 0.00376183],[0.0003834 0.0003834],[0.00142339 0.00142339],[0.01256702 0.01256702],[0.0465732 0.0465732],[0.02687125 0.02687125],[0.01845176 0.01845176],[0.0156519 0.0156519],[0.00655865 0.00655865],[0.00924009 0.00924009],[0.01885006 0.01885006],[0.01617655 0.01617655],[0.01738884 0.01738884],[0.00934608 0.00934608],[0.00935828 0.00935828],[0.01179238 0.01179238],[0.00086296 0.00086296],[0.00379505 0.00379505],[0.00804429 0.00804429],[0.01456201 0.01456201],[0.01154263 0.01154263],[0.01117805 0.01117805],1,4
[0.01785458 0.01785458],[0.00203489 0.00203489],[0.00049963 0.00049963],[0.00328707 0.00328707],[0.00391573 0.00391573],[0.06990734 0.06990734],[0.02285183 0.02285183],[0.00747966 0.00747966],[0.00623928 0.00623928],[0.0092524 0.0092524],[0.00949986 0.00949986],[0.0192558 0.0192558],[0.01692593 0.01692593],[0.00874772 0.00874772],[0.00572668 0.00572668],[0.0218418 0.0218418],[0.01762592 0.01762592],[0.00737125 0.00737125],[0.00734454 0.00734454],[0.0238838 0.0238838],[0.00472082 0.00472082],[0.01089208 0.01089208],[0.00448465 0.00448465],2,0
[0.02000047 0.02000047],[0.00199475 0.00199475],[0.00125911 0.00125911],[0.00318103 0.00318103],[0.00358542 0.00358542],[0.0708019 0.0708019],[0.02234988 0.02234988],[0.00800223 0.00800223],[0.0073102 0.0073102],[0.00954205 0.00954205],[0.01099807 0.01099807],[0.01687064 0.01687064],[0.01562513 0.01562513],[0.00344437 0.00344437],[0.01222906 0.01222906],[0.01581367 0.01581367],[0.01657549 0.01657549],[0.00340827 0.00340827],[0.0037157  0.00371569],[0.02567866 0.02567866],[0.01501454 0.01501454],[0.01178384 0.01178384],[0.01036114 0.01036114],2,1
[0.02106717 0.02106717],[0.00152002 0.00152002],[0.0014649 0.0014649],[0.00369878 0.00369878],[0.00686331 0.00686331],[0.06787059 0.06787059],[0.02447316 0.02447316],[0.00770006 0.00770006],[0.00674426 0.00674426],[0.01010188 0.01010188],[0.00968977 0.00968977],[0.02067362 0.02067362],[0.01246187 0.01246187],[0.00854041 0.00854041],[0.00941603 0.00941603],[0.01749705 0.01749704],[0.01611051 0.01611051],[0.0071138 0.0071138],[0.01207389 0.01207389],[0.02482763 0.02482763],[0.01282268 0.01282268],[0.01181207 0.01181207],[0.00954917 0.00954917],2,2
[0.02016991 0.02016991],[0.00282018 0.00282018],[0.00078054 0.00078053],[0.00319602 0.00319602],[0.0051147 0.0051147],[0.06583906 0.06583906],[0.02223687 0.02223687],[0.00739546 0.00739546],[0.00651379 0.00651379],[0.00868628 0.00868628],[0.00891232 0.00891232],[0.01641844 0.01641844],[0.01551175 0.01551175],[0.00636131 0.00636131],[0.00440973 0.00440973],[0.0199427 0.0199427],[0.0156608 0.0156608],[0.00678395 0.00678394],[0.00909313 0.00909313],[0.02086098 0.02086099],[0.001518 0.001518],[0.00186087 0.00186087],[0.00882315 0.00882315],2,3
[0.02562652 0.02562652],[0.00069315 0.00069315],[0.00291549 0.00291549],[0.00259254 0.00259254],[0.00586862 0.00586862],[0.06467206 0.06467206],[0.02050142 0.02050142],[0.00699739 0.00699739],[0.00631967 0.00631967],[0.00750498 0.00750498],[0.0067355 0.0067355],[0.01526357 0.01526357],[0.01542839 0.01542839],[0.00066413 0.00066413],[0.00659759 0.00659759],[0.01123011 0.01123011],[0.0010442 0.0010442],[0.00172411 0.00172411],[0.0077245 0.0077245],[0.01520747 0.01520747],[0.01775324 0.01775324],[0.00176785 0.00176785],[0.00650692 0.00650692],2,4
