X1,X2,X3,X4,X5,X6,X7,X8,X9,X10,X11,X12,X13,X14,X15,X16,X17,X18,X19,X20,X21,X22,X23,target_id,run_id
[0.0148714 0.0148714],[0.00146272 0.00146272],[0.00730106 0.00730106],[0.00420109 0.00420109],[0.00908741 0.00908741],[0.00429569 0.00429569],[0.02172517 0.02172517],[0.01302422 0.01302422],[0.02043239 0.02043239],[0.00830149 0.00830149],[0.01020296 0.01020296],[0.00149066 0.00149066],[0.01355473 0.01355473],[0.00638281 0.00638281],[0.00048531 0.00048531],[0.00028176 0.00028176],[0.00826451 0.00826451],[0.01493465 0.01493465],[0.00882232 0.00882232],[0.00567817 0.00567817],[0.02132235 0.02132235],[0.00203319 0.00203319],[0.00887463 0.00887463],0,0
[0.00597056 0.00597056],[0.00019898 0.00019898],[0.00349975 0.00349975],[0.0043208 0.0043208],[0.00141418 0.00141418],[0.01195206 0.01195206],[0.01369691 0.01369691],[0.00972392 0.00972392],[0.01742757 0.01742757],[0.00327874 0.00327874],[0.0096568 0.0096568],[0.01464589 0.01464589],[0.013361 0.013361],[0.00441634 0.00441634],[0.00188117 0.00188117],[0.01964107 0.01964107],[0.00180458 0.00180458],[0.01465035 0.01465035],[0.02508683 0.02508683],[0.03475539 0.03475539],[0.02885484 0.02885484],[0.02868997 0.02868997],[0.01674897 0.01674897],0,1
[0.00627765 0.00627765],[0.00239899 0.00239899],[0.01101381 0.01101381],[0.00230495 0.00230495],[0.0066517 0.0066517],[0.01003698 0.01003698],[0.01199039 0.01199039],[0.01700353 0.01700353],[0.01465314 0.01465314],[0.00143902 0.00143902],[0.01098666 0.01098666],[0.00476486 0.00476486],[0.01479853 0.01479853],[0.00815943 0.00815943],[0.01867903 0.01867903],[0.00734137 0.00734137],[0.01217642 0.01217642],[0.02962869 0.02962869],[0.01467512 0.01467512],[0.01833064 0.01833064],[0.02231547 0.02231547],[0.01433972 0.01433972],[0.01665051 0.0166505 ],0,2
[0.01270166 0.01270166],[0.00055053 0.00055053],[0.00566148 0.00566148],[0.01094822 0.01094822],[0.00415782 0.00415782],[0.01123925 0.01123925],[0.01438623 0.01438623],[0.00903429 0.00903429],[0.01785736 0.01785736],[0.00409698 0.00409698],[0.00660686 0.00660686],[0.0155704  0.01557041],[0.00659966 0.00659966],[0.00248113 0.00248113],[0.00252583 0.00252583],[0.00101181 0.00101181],[0.00821846 0.00821846],[0.01645106 0.01645106],[0.01710285 0.01710285],[0.0135196 0.0135196],[0.02304395 0.02304395],[0.00858469 0.00858469],[0.01164381 0.01164381],0,3
[0.00802595 0.00802595],[0.00263007 0.00263007],[0.00520537 0.00520537],[0.00142541 0.00142541],[0.00446064 0.00446064],[2.66698697e-06 2.66753561e-06],[0.01962629 0.01962629],[0.01176995 0.01176995],[0.01470456 0.01470456],[0.00027046 0.00027046],[0.01037384 0.01037384],[0.01109394 0.01109394],[0.0070326 0.0070326],[0.01068407 0.01068407],[0.00019541 0.00019541],[0.01018225 0.01018225],[0.00266537 0.00266537],[0.03564385 0.03564385],[0.00077048 0.00077048],[0.02735569 0.02735569],[0.01405683 0.01405683],[0.01662262 0.01662262],[0.00499619 0.00499619],0,4
[0.03015007 0.03015007],[0.00049046 0.00049046],[0.00013331 0.00013331],[0.00279905 0.00279905],[0.00327798 0.00327798],[0.03087573 0.03087573],[0.0157354 0.0157354],[0.01408557 0.01408557],[0.00576567 0.00576567],[0.00738423 0.00738423],[0.01151051 0.01151051],[0.01749864 0.01749864],[0.01846783 0.01846783],[0.00399357 0.00399357],[0.01706555 0.01706555],[0.00564967 0.00564967],[0.00817967 0.00817967],[0.00732709 0.00732709],[0.01023332 0.01023332],[0.00699774 0.00699774],[0.00401195 0.00401195],[0.01013376 0.01013376],[0.00170606 0.00170606],1,0
[0.0225234 0.0225234],[0.00088662 0.00088662],[0.0004606 0.0004606],[0.00574192 0.00574192],[0.00218786 0.00218786],[0.02718607 0.02718607],[0.00866528 0.00866528],[0.00911981 0.00911981],[0.00714057 0.00714057],[0.00140183 0.00140183],[0.0114696 0.0114696],[0.00970792 0.00970792],[0.00166554 0.00166554],[0.00547899 0.00547899],[0.00432497 0.00432497],[0.01289023 0.01289023],[0.00440965 0.00440965],[0.01561851 0.01561851],[0.01155676 0.01155676],[0.00181635 0.00181635],[0.00030424 0.00030424],[0.01568453 0.01568453],[0.00042227 0.00042227],1,1
[0.02326119 0.02326119],[0.00045988 0.00045988],[0.00073911 0.00073911],[0.00175212 0.00175212],[0.0041479 0.0041479],[0.02710516 0.02710516],[0.00752609 0.00752609],[0.01382724 0.01382724],[0.01025773 0.01025773],[0.00205732 0.00205732],[0.00853739 0.00853739],[0.01441684 0.01441684],[0.01640045 0.01640045],[0.01279638 0.01279638],[0.00704707 0.00704707],[0.00274176 0.00274176],[0.01006103 0.01006103],[0.01190576 0.01190576],[0.01327319 0.01327319],[0.01638485 0.01638485],[0.00264046 0.00264046],[0.00933883 0.00933883],[0.01742685 0.01742685],1,2
[0.02618782 0.02618782],[0.00055733 0.00055733],[0.00148874 0.00148874],[0.002299 0.002299],[0.00221542 0.00221542],[0.02939998 0.02939998],[0.01144751 0.01144751],[0.01264843 0.01264843],[0.00543676 0.00543676],[0.0077412  0.00774119],[0.012019 0.012019],[0.00080589 0.00080589],[0.00534967 0.00534967],[0.01214518 0.01214518],[0.0004841 0.0004841],[0.00052291 0.00052291],[0.00388967 0.00388967],[0.00998976 0.00998976],[0.01234747 0.01234747],[0.00534012 0.00534012],[0.00927352 0.00927352],[0.01334031 0.01334031],[0.01355001 0.01355001],1,3
[0.0217298 0.0217298],[0.0002191 0.0002191],[0.00021334 0.00021334],[0.00262416 0.00262416],[0.00134464 0.00134464],[0.03006609 0.03006609],[0.01121063 0.01121063],[0.01435704 0.01435704],[0.00497888 0.00497888],[0.0075499 0.0075499],[0.01023498 0.01023498],[0.00508201 0.00508201],[0.00444555 0.00444555],[0.00792849 0.00792849],[0.00899677 0.00899677],[0.00268108 0.00268108],[0.00461963 0.00461963],[0.02977689 0.02977689],[0.02328693 0.02328693],[0.00622586 0.00622586],[0.00699249 0.00699249],[0.01504785 0.01504785],[0.00331609 0.00331609],1,4
