X1,X2,X3,X4,X5,X6,X7,X8,X9,X10,X11,X12,X13,X14,X15,X16,X17,X18,X19,X20,X21,X22,X23,target_id,run_id
[0.0147175 0.0147175],[0.00180867 0.00180867],[0.00851106 0.00851106],[0.00305834 0.00305834],[0.00360846 0.00360846],[0.05153195 0.05153195],[0.02454769 0.02454769],[0.00777207 0.00777207],[0.01316735 0.01316735],[0.00695216 0.00695216],[0.006504 0.006504],[0.00427246 0.00427246],[0.00275822 0.00275821],[0.00963665 0.00963665],[0.00197571 0.00197571],[0.00800961 0.00800961],[0.00676609 0.00676609],[0.0165694 0.0165694],[0.00740615 0.00740615],[0.0218482 0.0218482],[0.01136339 0.01136339],[0.00627674 0.00627674],[0.01745057 0.01745057],0,0
[0.01673953 0.01673953],[0.00289155 0.00289155],[0.01022714 0.01022714],[0.0016536 0.0016536],[0.00857314 0.00857314],[0.04418905 0.04418905],[0.02505161 0.02505161],[0.0119796 0.0119796],[0.01179736 0.01179736],[0.0116307 0.0116307],[0.01545584 0.01545584],[0.01304305 0.01304305],[0.008745 0.008745],[0.00497724 0.00497724],[0.00663997 0.00663997],[0.00262006 0.00262006],[0.0016923 0.0016923],[0.00817952 0.00817952],[0.00319506 0.00319506],[0.01139261 0.01139261],[0.01424496 0.01424496],[0.0101946 0.0101946],[0.01427063 0.01427063],0,1
[0.01309039 0.01309039],[0.00113737 0.00113737],[0.00642623 0.00642623],[0.00584046 0.00584046],[0.00260689 0.00260689],[0.02650937 0.02650937],[0.02446099 0.02446099],[0.01505533 0.01505533],[0.01797647 0.01797647],[0.00514128 0.00514128],[0.0071749 0.0071749],[0.00841348 0.00841348],[0.01005588 0.01005588],[0.01126183 0.01126184],[0.00566847 0.00566847],[0.00934739 0.00934739],[0.01644906 0.01644906],[0.00812906 0.00812906],[0.00417461 0.00417461],[0.02059365 0.02059365],[0.00075469 0.00075469],[0.00203338 0.00203338],[0.01470829 0.01470829],0,2
[0.01818967 0.01818967],[0.0010433 0.0010433],[0.00735658 0.00735658],[0.00536293 0.00536293],[0.00304097 0.00304097],[0.02665908 0.02665908],[0.01710082 0.01710082],[0.01741613 0.01741613],[0.0183055 0.0183055],[0.01226817 0.01226817],[0.0179157 0.0179157],[0.00946777 0.00946777],[0.0026729 0.0026729],[0.02127688 0.02127688],[0.0015992 0.0015992],[0.0035727 0.0035727],[0.00386096 0.00386096],[0.00442847 0.00442847],[0.00325778 0.00325778],[0.02009731 0.02009731],[0.02159248 0.02159248],[0.00885793 0.00885793],[0.00996098 0.00996098],0,3
[0.02064809 0.02064809],[0.00203957 0.00203957],[0.00851595 0.00851595],[0.00831535 0.00831535],[0.00180763 0.00180763],[0.02792498 0.02792498],[0.03058183 0.03058183],[0.01665445 0.01665445],[0.01720363 0.01720363],[0.00816422 0.00816422],[0.00610425 0.00610425],[0.00504966 0.00504966],[0.01194619 0.01194619],[0.00117889 0.00117889],[0.00570819 0.00570819],[0.00331704 0.00331704],[0.00425254 0.00425253],[0.00591346 0.00591346],[0.00928175 0.00928175],[0.01708082 0.01708082],[0.00601393 0.00601393],[0.00506848 0.00506848],[0.01317586 0.01317586],0,4
[0.04292198 0.04292198],[0.00359813 0.00359813],[0.00335372 0.00335372],[0.00291339 0.00291339],[0.00280424 0.00280424],[0.05157455 0.05157455],[0.01821728 0.01821728],[0.00939531 0.00939531],[0.01632125 0.01632125],[0.00881185 0.00881185],[0.01262556 0.01262556],[0.02387992 0.02387992],[0.00798202 0.00798202],[0.00352129 0.00352129],[0.00553025 0.00553025],[0.00072421 0.00072421],[0.00275718 0.00275718],[0.00361816 0.00361815],[0.00372062 0.00372062],[0.01275799 0.01275799],[0.00500816 0.00500816],[0.00333789 0.00333789],[0.03191686 0.03191686],1,0
[0.04572535 0.04572535],[0.00475688 0.00475688],[0.00369122 0.00369122],[0.00385083 0.00385083],[0.00281911 0.00281911],[0.050142 0.050142],[0.01736316 0.01736316],[0.00732592 0.00732592],[0.01555885 0.01555885],[0.0083749 0.0083749],[0.0133381 0.0133381],[0.02212316 0.02212316],[0.00329535 0.00329535],[0.00669857 0.00669857],[0.00611295 0.00611295],[0.00236601 0.00236601],[0.00117903 0.00117903],[0.00529761 0.00529761],[0.00231104 0.00231104],[0.01569866 0.01569866],[0.00138193 0.00138193],[0.00224751 0.00224751],[0.03239667 0.03239667],1,1
[0.04596573 0.04596573],[0.00456342 0.00456342],[0.00283141 0.00283141],[0.00394813 0.00394813],[0.00112462 0.00112462],[0.05121161 0.05121161],[0.01651465 0.01651465],[0.00776712 0.00776712],[0.01568945 0.01568945],[0.00807324 0.00807324],[0.01236858 0.01236858],[0.02233659 0.02233659],[0.00527179 0.00527179],[0.00705927 0.00705927],[0.00605129 0.00605129],[0.00016756 0.00016756],[0.00156634 0.00156634],[0.00026295 0.00026295],[0.00088138 0.00088138],[0.01350299 0.01350299],[0.00214814 0.00214814],[0.00714371 0.00714371],[0.03523587 0.03523587],1,2
[0.04500491 0.04500491],[0.00331185 0.00331185],[0.00295755 0.00295755],[0.0030882 0.0030882],[0.00228359 0.00228359],[0.05074156 0.05074156],[0.0174045 0.0174045],[0.00791726 0.00791726],[0.01656242 0.01656242],[0.00858971 0.00858971],[0.01302587 0.01302587],[0.02113362 0.02113362],[0.00219314 0.00219314],[0.00540243 0.00540243],[0.00706517 0.00706517],[0.00101797 0.00101797],[0.00248146 0.00248146],[0.00204702 0.00204702],[0.00331888 0.00331888],[0.01119074 0.01119074],[0.00870963 0.00870963],[0.00828135 0.00828135],[0.03361042 0.03361042],1,3
[0.04424285 0.04424285],[0.00296869 0.00296869],[0.00321957 0.00321957],[0.00323278 0.00323278],[0.00132826 0.00132826],[0.05002713 0.05002713],[0.01759242 0.01759242],[0.00783011 0.00783011],[0.01589509 0.01589509],[0.00828245 0.00828245],[0.01229595 0.01229595],[0.02326253 0.02326253],[0.00850546 0.00850546],[0.00559777 0.00559777],[0.00653483 0.00653483],[0.00090325 0.00090325],[0.00211702 0.00211702],[0.00069801 0.00069801],[0.00516333 0.00516333],[0.01013973 0.01013974],[0.00288624 0.00288624],[0.00704545 0.00704545],[0.03318065 0.03318065],1,4
