X1,X2,X3,X4,X5,X6,X7,X8,X9,X10,X11,X12,X13,X14,X15,X16,X17,X18,X19,X20,X21,X22,X23,target_id,run_id
[0.00625184 0.00625184],[0.00143967 0.00143967],[0.00043357 0.00043358],[0.00081098 0.00081098],[0.00021753 0.00021753],[0.00396946 0.00396946],[0.00341357 0.00341358],[0.00736324 0.00736324],[0.00256159 0.00256159],[0.00054216 0.00054216],[0.00167825 0.00167825],[0.00304974 0.00304974],[0.00057528 0.00057528],[0.00540607 0.00540607],[0.00234322 0.00234322],[0.00239286 0.00239286],[0.00176249 0.00176249],[0.00406013 0.00406013],[0.00900652 0.00900652],[0.00022408 0.00022408],[0.0041462 0.0041462],[0.00240431 0.00240431],[0.00193755 0.00193755],0,0
[0.00707282 0.00707282],[0.00052295 0.00052295],[0.00041213 0.00041213],[0.00086146 0.00086146],[0.00014774 0.00014774],[0.00442517 0.00442517],[0.00386228 0.00386228],[0.00702893 0.00702893],[0.00235452 0.00235452],[0.00084931 0.00084931],[0.00177552 0.00177552],[0.00197515 0.00197515],[0.00103783 0.00103784],[0.00575979 0.00575979],[0.00330699 0.00330699],[0.0013402 0.0013402],[0.00119253 0.00119253],[0.00387944 0.00387944],[0.00814884 0.00814884],[0.00155667 0.00155667],[0.00460567 0.00460567],[0.00094833 0.00094833],[0.0025679 0.0025679],0,1
[0.00661701 0.00661701],[0.00149279 0.00149279],[0.00043872 0.00043872],[0.00083193 0.00083193],[0.00024612 0.00024612],[0.00415521 0.00415521],[0.00320558 0.00320558],[0.00730829 0.00730829],[0.00266001 0.00266001],[0.00054943 0.00054943],[0.00182401 0.00182401],[0.00182809 0.00182809],[0.00134621 0.00134621],[0.00557336 0.00557336],[0.00151854 0.00151854],[0.00265472 0.00265472],[0.00207308 0.00207308],[0.00599146 0.00599146],[0.00777535 0.00777535],[0.00141863 0.00141863],[0.00461325 0.00461325],[0.00199685 0.00199685],[0.00158981 0.00158981],0,2
[0.00660953 0.00660953],[0.00221075 0.00221075],[0.00039827 0.00039827],[0.00068312 0.00068312],[0.00017658 0.00017658],[0.00432642 0.00432642],[0.00325897 0.00325897],[0.00706857 0.00706857],[0.00247307 0.00247307],[0.00056828 0.00056828],[0.00183409 0.00183409],[0.00243007 0.00243007],[0.00169913 0.00169913],[0.00577202 0.00577202],[0.00357703 0.00357703],[0.00073779 0.00073779],[0.00171824 0.00171824],[0.00256363 0.00256363],[0.00681763 0.00681763],[0.00150934 0.00150934],[0.00435019 0.00435019],[0.00118118 0.00118118],[0.0021074 0.0021074],0,3
[0.00642677 0.00642677],[0.00212629 0.00212629],[0.00041056 0.00041056],[0.00077598 0.00077598],[0.00024026 0.00024026],[0.00406196 0.00406196],[0.00325358 0.00325358],[0.00740694 0.00740694],[0.00275298 0.00275298],[0.00066452 0.00066452],[0.00181528 0.00181528],[0.00286027 0.00286027],[0.00152586 0.00152586],[0.00580363 0.00580363],[0.00167337 0.00167337],[0.00239855 0.00239855],[0.00251693 0.00251693],[0.00468706 0.00468706],[0.00617455 0.00617455],[0.00164909 0.00164909],[0.00402178 0.00402178],[0.00217555 0.00217555],[0.00123999 0.00123999],0,4
[0.00144522 0.00144522],[0.00228015 0.00228015],[0.00214223 0.00214223],[0.00032449 0.00032449],[0.00015271 0.00015271],[0.00127949 0.00127949],[0.00336787 0.00336787],[0.00438625 0.00438625],[0.00394411 0.00394411],[0.00273635 0.00273635],[0.00142679 0.00142679],[0.00080156 0.00080156],[0.00406191 0.00406191],[0.00923755 0.00923755],[0.00158746 0.00158746],[0.000818 0.000818],[0.00561995 0.00561995],[0.00363712 0.00363712],[0.00255209 0.00255209],[0.0066778 0.0066778],[0.00422953 0.00422953],[0.00200599 0.00200599],[0.00218392 0.00218392],1,0
[0.00272763 0.00272763],[0.00078977 0.00078977],[0.00158861 0.00158861],[0.00047984 0.00047984],[0.00062083 0.00062083],[0.00383615 0.00383615],[0.00371501 0.00371501],[0.00670039 0.00670039],[0.00409239 0.00409239],[0.00366423 0.00366423],[0.00157889 0.00157889],[0.0005959 0.0005959],[0.0019069 0.0019069],[0.0110972 0.0110972],[0.00091699 0.00091699],[0.00120672 0.00120672],[0.00127901 0.00127901],[0.00362221 0.00362221],[0.00235602 0.00235602],[0.00714398 0.00714399],[0.00315333 0.00315333],[0.00411913 0.00411913],[0.0044784 0.0044784],1,1
[0.00170942 0.00170942],[0.00212199 0.00212199],[0.00218721 0.00218721],[0.00035026 0.00035026],[0.00091708 0.00091708],[0.00371525 0.00371525],[0.00361852 0.00361852],[0.00423997 0.00423997],[0.00423026 0.00423026],[0.0025016 0.0025016],[0.00138834 0.00138834],[0.00104745 0.00104745],[0.00407767 0.00407767],[0.00784639 0.00784639],[0.00163071 0.00163071],[0.00118959 0.00118959],[0.00016234 0.00016234],[0.0024435 0.0024435],[0.00107394 0.00107394],[0.00718577 0.00718578],[0.0045454 0.0045454],[0.00309063 0.00309063],[0.00288004 0.00288004],1,2
[0.00395779 0.00395779],[0.00109507 0.00109507],[0.00016871 0.00016871],[3.71093366e-05 3.71092835e-05],[0.0007803 0.0007803],[0.00389569 0.00389569],[0.00361583 0.00361583],[0.00412713 0.00412713],[0.00357767 0.00357768],[0.00160993 0.00160993],[0.00145251 0.00145251],[0.001644 0.001644],[0.00358402 0.00358402],[0.00464339 0.00464339],[0.00217154 0.00217154],[0.00036313 0.00036313],[0.00011563 0.00011563],[0.00053369 0.00053369],[0.00327476 0.00327476],[0.00518124 0.00518124],[0.00363121 0.00363121],[0.00306467 0.00306467],[0.00092844 0.00092844],1,3
[0.00387186 0.00387186],[0.00121121 0.00121121],[0.00013803 0.00013803],[8.79315512e-05 8.79315159e-05],[0.00072327 0.00072327],[0.0038589 0.0038589],[0.00385718 0.00385718],[0.00399555 0.00399555],[0.00361641 0.00361641],[0.0022659 0.0022659],[0.00142732 0.00142732],[0.00188263 0.00188263],[0.00421178 0.00421178],[0.00342941 0.00342941],[0.00187547 0.00187547],[0.00144433 0.00144433],[0.00025495 0.00025495],[0.00021719 0.00021719],[0.00381307 0.00381308],[0.00790386 0.00790386],[0.00312966 0.00312966],[0.0025754 0.0025754],[0.00024672 0.00024671],1,4
