X1,X2,X3,X4,X5,X6,X7,X8,X9,X10,X11,X12,X13,X14,X15,X16,X17,X18,X19,X20,X21,X22,X23,target_id,run_id
[0.00164933 0.00164933],[0.0006404 0.0006404],[3.39718732e-05 3.39718707e-05],[0.00119897 0.00119897],[0.00039413 0.00039413],[0.00146893 0.00146893],[0.00255611 0.00255611],[0.00087699 0.00087699],[0.00070504 0.00070504],[0.00115488 0.00115488],[0.00076655 0.00076655],[0.00167825 0.00167825],[0.00150194 0.00150194],[0.00530651 0.00530651],[0.00011714 0.00011714],[0.00101103 0.00101103],[0.00204321 0.00204321],[0.00289051 0.00289051],[0.00459754 0.00459754],[0.00010389 0.00010389],[0.00011282 0.00011282],[0.00137575 0.00137575],[0.00044813 0.00044813],0,0
[0.00399314 0.00399314],[0.00187845 0.00187845],[8.70995506e-05 8.70995653e-05],[0.0012406 0.0012406],[8.56745995e-05 8.56745840e-05],[0.00136556 0.00136556],[0.00269988 0.00269988],[0.00144568 0.00144568],[0.00051536 0.00051536],[0.00102655 0.00102655],[0.00052083 0.00052083],[0.00291829 0.00291829],[0.00584786 0.00584786],[0.01218619 0.01218619],[6.01984210e-05 6.01983968e-05],[0.00257654 0.00257654],[0.00424524 0.00424524],[0.00338988 0.00338988],[0.00122873 0.00122873],[0.00097666 0.00097666],[0.00104921 0.00104921],[0.00233262 0.00233262],[0.00015417 0.00015417],0,1
[0.0052075 0.0052075],[0.00078762 0.00078762],[5.34090710e-05 5.34090866e-05],[0.00216683 0.00216683],[0.00025706 0.00025706],[0.00130568 0.00130568],[0.0028756 0.0028756],[0.00113032 0.00113032],[0.00020905 0.00020905],[0.00027608 0.00027608],[0.00034488 0.00034488],[0.00450773 0.00450773],[0.00475151 0.00475151],[0.01639956 0.01639956],[0.00119714 0.00119714],[0.00279464 0.00279464],[0.00336119 0.00336119],[0.00424611 0.00424611],[0.00276821 0.00276821],[0.001356 0.001356],[0.00099643 0.00099643],[0.0003825 0.0003825],[0.00165429 0.00165429],0,2
[0.00422929 0.00422929],[0.00088921 0.00088921],[0.00010016 0.00010016],[0.00126337 0.00126337],[0.00020734 0.00020734],[0.00138988 0.00138988],[0.00228964 0.00228964],[0.00089949 0.00089949],[0.00028104 0.00028104],[0.00105889 0.00105889],[0.00147778 0.00147778],[0.00420444 0.00420444],[0.00467921 0.00467921],[0.01350329 0.01350329],[0.00047532 0.00047532],[0.00119246 0.00119246],[0.00048119 0.00048119],[0.00393381 0.00393381],[0.00064785 0.00064785],[0.00067706 0.00067706],[0.00119933 0.00119933],[5.73016351e-05 5.73016611e-05],[0.00093444 0.00093444],0,3
[0.00292449 0.00292449],[0.00185552 0.00185552],[4.90043045e-05 4.90043203e-05],[0.00210373 0.00210373],[6.74603762e-06 6.74604154e-06],[0.00154798 0.00154798],[0.00231528 0.00231528],[0.00119449 0.00119449],[0.0012625 0.0012625],[0.00064508 0.00064508],[0.00076909 0.00076909],[0.00214127 0.00214127],[0.00189583 0.00189583],[0.01386496 0.01386496],[0.00017016 0.00017016],[0.00169484 0.00169484],[0.0026594 0.0026594],[0.00335623 0.00335623],[0.00525817 0.00525817],[0.00028611 0.00028611],[0.00097349 0.00097349],[0.00297135 0.00297135],[0.00112179 0.00112179],0,4
[0.01090925 0.01090925],[0.00014345 0.00014345],[0.00013381 0.00013381],[0.00475139 0.00475139],[0.00045266 0.00045266],[0.00067587 0.00067587],[0.01289329 0.01289329],[0.00150337 0.00150337],[0.00282337 0.00282337],[0.00246718 0.00246718],[0.00268349 0.00268349],[0.001455 0.001455],[0.00445619 0.00445619],[0.00148833 0.00148833],[0.00068143 0.00068143],[0.00060667 0.00060667],[0.00720702 0.00720702],[0.00305544 0.00305544],[0.00329345 0.00329345],[0.00615726 0.00615726],[0.00656806 0.00656806],[0.00238361 0.00238361],[6.46031991e-05 6.46031996e-05],1,0
[0.01109988 0.01109988],[8.35317042e-05 8.35317393e-05],[8.74999901e-05 8.74999967e-05],[0.00484484 0.00484484],[0.00025433 0.00025433],[0.00118143 0.00118143],[0.01261147 0.01261147],[0.00135849 0.00135849],[0.00285806 0.00285806],[0.00258008 0.00258008],[0.00276722 0.00276722],[0.00074087 0.00074087],[0.00375313 0.00375314],[0.0009702 0.0009702],[0.00232349 0.00232349],[0.00047722 0.00047722],[0.00691698 0.00691698],[0.00364052 0.00364052],[0.00228393 0.00228393],[0.00347718 0.00347718],[0.00448302 0.00448302],[0.0016448 0.0016448],[0.00010817 0.00010817],1,1
[0.01138766 0.01138766],[6.14285292e-05 6.14285654e-05],[0.00014341 0.00014341],[0.00380381 0.00380381],[0.00040881 0.00040881],[0.00099325 0.00099325],[0.00328206 0.00328206],[0.00148429 0.00148429],[0.00284663 0.00284663],[0.00227607 0.00227607],[0.00280873 0.00280873],[0.00088794 0.00088794],[0.00080393 0.00080393],[0.00090071 0.00090071],[0.00083075 0.00083075],[0.00025603 0.00025603],[0.00830873 0.00830873],[0.00894405 0.00894405],[0.00289 0.00289],[0.00282234 0.00282234],[0.00604405 0.00604405],[0.00228901 0.00228901],[1.92460898e-05 1.92460077e-05],1,2
[0.01026151 0.01026151],[9.96031434e-05 9.96031695e-05],[0.00012484 0.00012484],[0.0049123 0.0049123],[0.00021913 0.00021913],[0.00092976 0.00092976],[0.01308536 0.01308536],[0.00142151 0.00142151],[0.0009202 0.0009202],[0.00228186 0.00228187],[0.00276321 0.00276321],[0.00134556 0.00134556],[0.00341639 0.00341639],[0.0010654 0.0010654],[0.0013121 0.0013121],[0.00035099 0.00035099],[0.00602175 0.00602175],[0.00323317 0.00323317],[0.00245329 0.00245329],[0.00626528 0.00626528],[0.00262091 0.00262091],[0.00163095 0.00163095],[0.00052135 0.00052135],1,3
[0.00816841 0.00816841],[6.16667201e-05 6.16666753e-05],[0.00010802 0.00010802],[0.00452488 0.00452488],[0.00040341 0.00040341],[0.00116615 0.00116615],[0.0045029 0.0045029],[0.00200063 0.00200063],[0.00059302 0.00059302],[0.00182754 0.00182754],[0.00309099 0.00309099],[0.0014502 0.0014502],[0.00258972 0.00258972],[0.00158544 0.00158544],[0.00164937 0.00164937],[0.00401583 0.00401583],[0.00853349 0.00853349],[0.00663425 0.00663425],[0.00166952 0.00166952],[0.00386135 0.00386135],[0.0023573 0.0023573],[0.00181786 0.00181786],[0.00046877 0.00046877],1,4
