X1,X2,X3,X4,X5,X6,X7,X8,X9,X10,X11,X12,X13,X14,X15,X16,X17,X18,X19,X20,X21,X22,X23,target_id,run_id
[0.02319838 0.02319839],[0.00545538 0.00545538],[0.00287848 0.00287848],[0.00060077 0.00060077],[0.00320565 0.00320565],[0.0348146 0.0348146],[0.01008324 0.01008324],[0.00287406 0.00287406],[0.01046747 0.01046747],[0.00537863 0.00537863],[0.00222378 0.00222378],[0.00344839 0.00344839],[0.00233648 0.00233649],[0.0114531 0.0114531],[0.01516643 0.01516643],[0.00877643 0.00877643],[0.02074402 0.02074402],[0.01165956 0.01165956],[0.00393845 0.00393845],[0.01086873 0.01086873],[0.01017909 0.01017909],[0.00119225 0.00119225],[0.00273182 0.00273182],2,0
[0.02156816 0.02156816],[0.00731671 0.00731671],[0.00447611 0.00447611],[0.00043764 0.00043764],[0.00405312 0.00405312],[0.03536357 0.03536357],[0.00969746 0.00969746],[0.00296808 0.00296808],[0.01018758 0.01018758],[0.00513039 0.00513039],[0.00201142 0.00201142],[0.00505434 0.00505434],[0.00035526 0.00035526],[0.01289782 0.01289782],[0.01441209 0.01441209],[0.01181585 0.01181585],[0.01618618 0.01618618],[0.01128539 0.01128539],[0.00566423 0.00566423],[0.01400222 0.01400222],[0.00635263 0.00635263],[0.00135934 0.00135934],[0.00163696 0.00163696],2,1
[0.02248776 0.02248776],[0.00721516 0.00721516],[0.00385115 0.00385115],[0.00026276 0.00026276],[0.00257456 0.00257456],[0.03517719 0.03517719],[0.0086591  0.00865911],[0.00327393 0.00327393],[0.01069094 0.01069094],[0.00539561 0.00539561],[0.00270852 0.00270852],[0.00464521 0.00464521],[0.00401332 0.00401332],[0.01163206 0.01163206],[0.01723482 0.01723482],[0.00879412 0.00879412],[0.01767482 0.01767481],[0.00959912 0.00959912],[0.00520384 0.00520384],[0.00835741 0.00835741],[0.01118577 0.01118577],[0.00210413 0.00210413],[0.00519442 0.00519442],2,2
[0.02345726 0.02345726],[0.0071167 0.0071167],[0.00364009 0.00364009],[0.00016098 0.00016098],[0.00483671 0.00483671],[0.03567477 0.03567477],[0.01177789 0.01177789],[0.00306607 0.00306607],[0.01009993 0.01009993],[0.00610248 0.00610248],[0.00226732 0.00226732],[0.00388964 0.00388964],[0.00072187 0.00072187],[0.01100858 0.01100858],[0.01471212 0.01471212],[0.01018911 0.01018911],[0.01859242 0.01859242],[0.00726354 0.00726354],[0.01253549 0.01253549],[0.0125092 0.0125092],[0.01280165 0.01280165],[0.0008797 0.0008797],[0.00019998 0.00019998],2,3
[0.02170273 0.02170273],[0.00720835 0.00720835],[0.00311143 0.00311143],[0.00099217 0.00099217],[0.00145994 0.00145994],[0.03558501 0.03558501],[0.01096136 0.01096136],[0.00202544 0.00202544],[0.00971284 0.00971284],[0.00416137 0.00416137],[0.00213006 0.00213006],[0.00601886 0.00601886],[0.00334043 0.00334043],[0.0137879 0.0137879],[0.01593911 0.01593911],[0.0088296 0.0088296],[0.0282618 0.0282618],[0.00293056 0.00293056],[0.0058437 0.0058437],[0.00667841 0.00667841],[0.00891065 0.00891065],[3.50111931e-06 3.50122736e-06],[0.0032462 0.0032462],2,4
[0.04618658 0.04618658],[0.00100795 0.00100795],[0.00527459 0.00527459],[0.00300595 0.00300595],[0.00399514 0.00399514],[0.0272823 0.0272823],[0.0100647 0.0100647],[0.00261252 0.00261252],[0.01134758 0.01134758],[0.00641817 0.00641817],[0.00907182 0.00907182],[0.01702213 0.01702213],[0.00263286 0.00263286],[0.00929757 0.00929757],[0.01270713 0.01270713],[0.00304117 0.00304117],[0.00740626 0.00740626],[0.01880238 0.01880238],[0.00039064 0.00039064],[0.00503865 0.00503865],[0.0049873 0.0049873],[0.00173465 0.00173465],[0.00918127 0.00918127],3,0
[0.06092231 0.06092231],[0.0001869 0.0001869],[0.00383132 0.00383132],[0.0045193 0.0045193],[0.00105092 0.00105092],[0.02003201 0.02003201],[0.01110585 0.01110585],[0.00076892 0.00076892],[0.00865934 0.00865934],[0.00538157 0.00538157],[0.00766524 0.00766524],[0.01220836 0.01220836],[0.00839639 0.00839639],[0.00933689 0.00933689],[0.01518496 0.01518496],[0.000664 0.000664],[0.00985359 0.00985359],[0.03576837 0.03576837],[0.00791091 0.00791091],[0.00180117 0.00180117],[0.01164349 0.01164349],[0.0047794 0.0047794],[0.00998672 0.00998672],3,1
[0.06102562 0.06102562],[0.00097691 0.00097691],[0.00272466 0.00272466],[0.00358406 0.00358406],[0.0019694 0.0019694],[0.02613814 0.02613814],[0.01019247 0.01019247],[0.00190202 0.00190202],[0.00991703 0.00991703],[0.0057733 0.0057733],[0.0085096 0.0085096],[0.01576789 0.01576789],[0.00350243 0.00350244],[0.00179063 0.00179063],[0.01456697 0.01456697],[0.01177896 0.01177896],[0.00658802 0.00658802],[0.02404862 0.02404863],[0.00919842 0.00919842],[0.00398245 0.00398245],[0.00275706 0.00275706],[0.00333885 0.00333885],[0.00346547 0.00346547],3,2
[0.05507666 0.05507666],[0.00090452 0.00090452],[0.00206986 0.00206986],[0.00609442 0.00609442],[0.00373658 0.00373658],[0.02653145 0.02653145],[0.01252927 0.01252927],[3.67153175e-05 3.67151884e-05],[0.00614471 0.00614471],[0.00659578 0.00659578],[0.0080254 0.0080254],[0.01078708 0.01078708],[0.00384097 0.00384098],[9.63545476e-06 9.63536587e-06],[0.00596592 0.00596592],[0.00520633 0.00520633],[0.00556711 0.00556711],[0.00441036 0.00441036],[0.02497924 0.02497924],[0.00857974 0.00857974],[0.01604765 0.01604765],[0.00231664 0.00231664],[0.00141212 0.00141212],3,3
[0.05294037 0.05294037],[0.00146962 0.00146962],[0.00344964 0.00344964],[0.0029796 0.0029796],[0.00053601 0.00053601],[0.02749798 0.02749798],[0.01291536 0.01291536],[0.00144044 0.00144044],[0.01156816 0.01156816],[0.0070206 0.0070206],[0.00941508 0.00941508],[0.01515181 0.01515181],[0.00377521 0.00377521],[0.00835792 0.00835792],[0.01359313 0.01359313],[0.00309821 0.00309821],[0.00816721 0.00816721],[0.02429909 0.02429909],[0.00344044 0.00344044],[0.00361951 0.00361951],[0.0023629 0.0023629],[0.00436225 0.00436225],[0.0006462 0.0006462],3,4
