default_rate,limit_bal,sex,education,marriage,age,pay_0,pay_2,pay_3,pay_4,pay_5,pay_6,bill_amt1,bill_amt2,bill_amt3,bill_amt4,bill_amt5,bill_amt6,pay_amt1,pay_amt2,pay_amt3,pay_amt4,pay_amt5,pay_amt6
0.01,0.8070755820740859,1.0776578055607833,0.9581406084922705,0.8526627326928873,0.832676220792225,1.411875488442208,1.5580424037146596,1.4297190475713777,1.537020854043587,1.7122395451068455,1.3664279442510607,0.8033976083787798,0.8596529039595775,0.8748420613076959,0.8164255186982108,0.8003423848175256,0.9056909076727665,0.8435281969059015,0.8580624730302111,0.8090614923203729,0.8122500462808799,0.8437151070543155,0.8271026415268443
0.025,0.7685706656293367,1.1012819997206265,1.1091091779876598,0.9319464391494244,0.9093819012702028,1.4324947929618481,1.6458351317158237,1.361169698643334,1.6906941530262605,1.9615090303037148,1.7269806615993373,0.7939226901357147,0.86042085976613,0.8797641885978348,0.9566847942402661,0.8280372526266552,0.9630223399555213,0.8714509579782805,0.8731793614896386,0.8213479955605616,0.9080394831472436,1.0303264809274637,0.8959132799837367
0.05,0.7569954893258887,1.112484866007521,1.1099628679747695,1.0695094809688475,0.8973526975447396,1.4480719064918326,1.6290627503721322,1.2758720166108295,1.869109828287423,1.7163289604627328,1.6287311854121524,0.7678419743246119,0.8740874280834824,0.9839312305880988,0.9234997866476299,0.8931093953745962,1.0218246047759405,0.9125739267673193,1.004852838008756,0.8517595609183944,0.8629627460493238,0.9685124184747269,0.9063927734620507
0.1,0.7112450221697961,0.8428786585978727,1.0282048790225051,0.9231455219358978,0.9780648160253462,1.3901881826587497,1.4062140432975285,1.4567628189362793,1.5821139110341178,1.5872219976303816,1.579362984497615,0.765582888950789,0.938442468574498,1.0751274299476699,0.9124483697380571,0.9379765271251832,1.02069101130632,0.8587879282364033,1.1491014600532696,0.855298513964246,0.8886055037161305,1.0594087535177599,0.9736463050296785
0.15,0.7034692887005779,0.8856145119049196,0.9595946314515722,0.7946166109380473,0.9373659745615406,1.2249411021970116,1.2431264732316565,1.3740486005270005,1.5705290501380802,1.631935551784685,1.4736758337942317,0.7014815449060604,0.9410124002888177,1.1399683367198679,0.9520417121576352,0.9319404228556901,1.0559984640234938,0.8346224292019337,1.2202073209731674,0.9243913045949096,0.8828123909146199,1.0345411116927834,0.9362206805765994
0.2,0.664199260202407,0.8305716659707131,0.9843791629272226,0.8144449107667836,0.9463095750846403,1.1674990831181966,1.2307023477592514,1.2754655726906852,1.5182020352058445,1.5722318100064232,1.39041339320928,0.7182885312561726,0.9239786262333592,1.1003531545195044,0.9708612746497304,0.9180770067646571,1.0273995499547455,0.8417663466827885,1.1431993991233829,0.9157640344239809,0.9222620315253418,1.1090185937997934,0.889834923484147
0.25,0.6628999614851091,0.7675449361602121,0.9414884664844658,0.8120933503755625,0.9199874843494696,1.0619202873203295,1.1056385477863202,1.2343328659191308,1.3775003594482254,1.394857666666561,1.2801450093895517,0.6602802639113939,0.8811728467402719,1.0750728495618478,0.9321514656203581,1.0061888001472292,0.9941811084612493,0.8317110512434551,1.1446286892640565,0.8578654027524227,0.9163298692244646,1.081838687908006,0.8651267296672018
0.3,0.6363886509069755,0.7705142341631075,0.967823426120459,0.7147145851075308,0.9580934147524038,0.9948485619306002,1.047792082866711,1.1357461369498565,1.4027925443080431,1.4268905661367455,1.240575158884503,0.6532303887567764,0.925235973986206,1.1362860029051884,0.881445342808231,0.9368933666244852,0.987199263757049,0.815598967128012,1.1695766096564826,0.8723260707188016,0.8952519293425931,1.070830557150341,0.8666168008044569
0.35,0.6357291515493338,0.6959074779109867,0.9815902391487249,0.6944839481939289,0.9241117151170516,0.9584855971975996,1.021904169996461,1.145146869484377,1.4028956271944593,1.4150275317307937,1.2196781032165636,0.6372407610608686,0.9973412927484292,1.1828939329761654,0.9376698599211848,0.9691822030221953,1.0615337208609248,0.8342988630933841,1.144416467472869,0.8493301460547834,0.8867058339474198,1.0763484830652787,0.9361553219128829
0.4,0.6212498923303615,0.72133810486724,0.9377874519361956,0.7089382510238645,0.9325759687876536,0.8798228706776211,0.9438758800991494,1.0888441639349087,1.3279015025196557,1.3295854562233522,1.1514400351873577,0.6244516561606808,0.9507844227084001,1.0846942987743506,0.9852526933969904,0.9767377938004057,0.9417867566141472,0.8258044692843786,1.1087895790739322,0.8764372550670427,0.8891125282188274,1.0262260873915598,0.9708276376722579
0.45,0.6237817352950529,0.7143588369597428,0.9117988033550393,0.7141491862195699,0.9536105714057003,0.7931147578530195,0.8597699110547392,1.0173708989890542,1.22645209666233,1.2407116249282424,1.0630588237344925,0.624672341362874,0.9540623708127282,1.150533610490408,1.0099889366894723,0.9217425829998213,1.0747354971396608,0.8499120538491209,1.1247536039511614,0.8636819838287125,0.8903398423987511,1.0358495867787572,0.9886972115327296
0.5,0.6135551634311918,0.6979726111193224,0.907664959257736,0.7796552110582935,0.9114308956810889,0.7841051473945262,0.8502030627583672,0.9626409585461979,1.2359702323421058,1.1775800321511185,1.0547255719335165,0.6291646924322735,0.9526004993546938,1.0754683999998413,1.044566970583335,0.9258425588784013,1.1471028391773648,0.8351191614873819,1.1763931758126516,0.8388697065864528,0.8955676308923611,1.0234460425489629,0.9714065607748216
