dataset,strategy,strategy_label,default_rate,shap_cv_defaulters,shap_sra_defaulters,shap_cv_nondefaulters,shap_sra_nondefaulters,shap_cv_all,shap_sra_all,cv_gap,sra_gap
Taiwan,baseline,Baseline,0.01,0.8401180728710925,32.831690894170464,0.851242794714141,32.287999461564944,0.8456804337926167,32.5598451778677,-0.011124721843048468,0.5436914326055202
Taiwan,baseline,Baseline,0.025,0.842182826583477,31.076326370350536,0.8432658146204599,31.156485592276486,0.8427243206019684,31.11640598131351,-0.0010829880369829237,-0.08015922192594971
Taiwan,baseline,Baseline,0.05,0.805851447662369,28.944251513187073,0.8168923310250743,28.96298032605555,0.8113718893437217,28.953615919621317,-0.011040883362705256,-0.018728812868477718
Taiwan,baseline,Baseline,0.1,0.7592630789492809,27.216638138516434,0.768775722518044,28.633469534661106,0.7640194007336626,27.925053836588777,-0.009512643568763135,-1.4168313961446728
Taiwan,baseline,Baseline,0.15,0.7346146925222259,25.120853894275033,0.7432917153715297,26.409637725806263,0.7389532039468779,25.765245810040646,-0.008677022849303828,-1.28878383153123
Taiwan,baseline,Baseline,0.2,0.7114813170419224,23.085596276332293,0.718383938741039,25.26490235199325,0.7149326278914805,24.17524931416277,-0.006902621699116596,-2.179306075660957
Taiwan,baseline,Baseline,0.25,0.6855585073378917,21.537677253897417,0.6912326953583837,23.749491449428564,0.6883956013481378,22.643584351662998,-0.005674188020492021,-2.211814195531147
Taiwan,baseline,Baseline,0.3,0.6639601028287864,21.17966940765713,0.6709083393390769,23.201811883116175,0.6674342210839316,22.19074064538665,-0.006948236510290529,-2.022142475459045
Taiwan,baseline,Baseline,0.35,0.6703085480568458,20.091882580002196,0.675421683439599,21.941574796831173,0.6728651157482224,21.016728688416688,-0.005113135382753153,-1.849692216828977
Taiwan,baseline,Baseline,0.4,0.6573385109544253,19.020979778425186,0.6612710380195472,21.16955355237103,0.6593047744869862,20.095266665398107,-0.003932527065121927,-2.148573773945845
Taiwan,baseline,Baseline,0.45,0.6583314433519721,19.6054548330658,0.6521822154077844,20.56426360431414,0.6552568293798783,20.08485921868997,0.006149227944187707,-0.9588087712483393
Taiwan,baseline,Baseline,0.5,0.6524064512912561,19.02683692365953,0.6496021559586878,20.70027258972595,0.651004303624972,19.86355475669274,0.0028042953325683184,-1.6734356660664211
Taiwan,smote,SMOTE,0.01,0.8105064582123036,30.21025765520859,0.8210805875443029,30.144518170367096,0.8157935228783033,30.17738791278785,-0.010574129331999305,0.06573948484149383
Taiwan,smote,SMOTE,0.025,0.763085205963099,25.75264542470061,0.7653128906367068,26.451699044535886,0.7641990482999028,26.10217223461825,-0.002227684673607788,-0.6990536198352757
Taiwan,smote,SMOTE,0.05,0.7017526752657974,20.974742562382236,0.7035860730852138,21.951683737801318,0.7026693741755055,21.463213150091775,-0.0018333978194163825,-0.976941175419082
Taiwan,smote,SMOTE,0.1,0.6605513659410911,17.255870351688255,0.6611295804046711,18.950578508740506,0.660840473172881,18.10322443021438,-0.0005782144635799735,-1.6947081570522506
Taiwan,smote,SMOTE,0.15,0.6459149992168025,14.707813600817733,0.6564716305828554,16.59068998521694,0.651193314899829,15.649251793017335,-0.010556631366052893,-1.8828763843992071
Taiwan,smote,SMOTE,0.2,0.6388145687256328,13.55650309918093,0.6452073782083617,15.007097537559504,0.6420109734669974,14.281800318370214,-0.006392809482728912,-1.450594438378575
Taiwan,smote,SMOTE,0.25,0.6196195783271063,13.012237290294006,0.6237920392252603,14.901358858091607,0.6217058087761833,13.956798074192804,-0.004172460898153929,-1.8891215677976003
Taiwan,smote,SMOTE,0.3,0.6182956772420292,12.921639930941456,0.6186148067947993,15.28959755827861,0.6184552420184142,14.105618744610034,-0.00031912955277013655,-2.3679576273371534
Taiwan,smote,SMOTE,0.35,0.6158254671888099,13.352609189260136,0.6171442757455793,14.6939590785801,0.6164848714671946,14.023284133920114,-0.0013188085567693575,-1.3413498893199645
Taiwan,smote,SMOTE,0.4,0.6192725444489071,13.736953974792131,0.6236837643302973,16.45049332943409,0.6214781543896022,15.093723652113107,-0.004411219881390149,-2.7135393546419575
Taiwan,smote,SMOTE,0.45,0.641280900546716,18.010450022791982,0.6426891771151895,19.840978986102936,0.6419850388309527,18.925714504447463,-0.001408276568473421,-1.8305289633109538
Taiwan,smote,SMOTE,0.5,0.6524064512912561,19.02683692365953,0.6496021559586878,20.70027258972595,0.651004303624972,19.86355475669274,0.0028042953325683184,-1.6734356660664211
Taiwan,adasyn,ADASYN,0.01,0.8118087088627278,30.303924020021224,0.8200312089726909,29.953578672395583,0.8159199589177093,30.128751346208396,-0.00822250010996306,0.35034534762564107
Taiwan,adasyn,ADASYN,0.025,0.7693623844625159,25.810442492038007,0.7850268601872462,25.743291321205838,0.7771946223248811,25.776866906621922,-0.015664475724730287,0.06715117083216882
Taiwan,adasyn,ADASYN,0.05,0.7084564425371999,21.04078795521277,0.7074028111722588,21.959943543324734,0.7079296268547293,21.500365749268752,0.0010536313649410767,-0.9191555881119626
Taiwan,adasyn,ADASYN,0.1,0.6563109642699411,16.737001032735044,0.6539106074171065,18.03480336338338,0.6551107858435238,17.385902198059213,0.002400356852834573,-1.2978023306483344
Taiwan,adasyn,ADASYN,0.15,0.6383692899037778,14.994977192522073,0.6414563744184355,16.900332227600654,0.6399128321611067,15.947654710061359,-0.0030870845146576675,-1.9053550350785802
Taiwan,adasyn,ADASYN,0.2,0.6320881602021718,13.756783499099301,0.6236538895456964,14.775931537781752,0.6278710248739341,14.266357518440527,0.008434270656475396,-1.0191480386824505
Taiwan,adasyn,ADASYN,0.25,0.6313000311400893,13.248700076457846,0.6316514903314955,14.743504178776197,0.6314757607357923,13.996102127617021,-0.0003514591914062226,-1.4948041023183514
Taiwan,adasyn,ADASYN,0.3,0.6247526593791456,12.902687552010176,0.6313028027438081,15.168022338263158,0.6280277310614768,14.035354945136667,-0.006550143364662531,-2.265334786252982
Taiwan,adasyn,ADASYN,0.35,0.6159995473373678,13.166870716479236,0.6152162955973143,15.341573648552973,0.6156079214673411,14.254222182516102,0.0007832517400535588,-2.174702932073737
Taiwan,adasyn,ADASYN,0.4,0.6274244718389479,13.709337204183367,0.633492181947192,15.496549120436576,0.6304583268930699,14.602943162309968,-0.00606771010824414,-1.7872119162532094
Taiwan,adasyn,ADASYN,0.45,0.6583314433519721,19.6054548330658,0.6521822154077844,20.56426360431414,0.6552568293798783,20.08485921868997,0.006149227944187707,-0.9588087712483393
Taiwan,adasyn,ADASYN,0.5,0.6524064512912561,19.02683692365953,0.6496021559586878,20.70027258972595,0.651004303624972,19.86355475669274,0.0028042953325683184,-1.6734356660664211
Taiwan,rus,RUS,0.01,0.8772596773572837,31.865348525112644,0.8826231963430006,30.895828939635326,0.879941436850142,31.380588732373987,-0.005363518985716853,0.9695195854773182
Taiwan,rus,RUS,0.025,0.8246371701035923,33.0221299234428,0.8288993895461125,32.327686781201244,0.8267682798248525,32.674908352322014,-0.004262219442520254,0.6944431422415533
Taiwan,rus,RUS,0.05,0.8045158233689211,32.42439689635669,0.8020507871045137,32.15483071045192,0.8032833052367175,32.28961380340431,0.0024650362644074164,0.26956618590477177
Taiwan,rus,RUS,0.1,0.7792327652546627,30.78252993987309,0.7658553816177108,30.605528771545696,0.7725440734361867,30.69402935570939,0.013377383636951845,0.17700116832739354
Taiwan,rus,RUS,0.15,0.7442822040212609,28.106656187147408,0.7375536523013722,28.098797382293935,0.7409179281613167,28.102726784720673,0.006728551719888731,0.007858804853473345
Taiwan,rus,RUS,0.2,0.725897850400092,25.87273745182178,0.7291859939910645,26.544648497923532,0.7275419221955781,26.20869297487265,-0.0032881435909725143,-0.6719110461017515
Taiwan,rus,RUS,0.25,0.7016900568539548,25.018729084590355,0.7090972495560337,25.17111254730428,0.7053936532049945,25.094920815947315,-0.007407192702078902,-0.15238346271392444
Taiwan,rus,RUS,0.3,0.69197948030392,23.487458967915373,0.6902414995602357,24.64134191466165,0.6911104899320779,24.064400441288516,0.0017379807436842531,-1.1538829467462755
Taiwan,rus,RUS,0.35,0.6778754752296607,21.996106104465312,0.6749119602105051,23.942358179713587,0.6763937177200829,22.969232142089453,0.0029635150191555937,-1.9462520752482746
Taiwan,rus,RUS,0.4,0.665041375875758,20.36174570191239,0.6596708430615149,22.031200916414438,0.6623561094686365,21.196473309163412,0.005370532814243045,-1.6694552145020474
Taiwan,rus,RUS,0.45,0.6616180690220679,19.85616269638724,0.6620138717809358,22.00639210571191,0.6618159704015018,20.931277401049574,-0.0003958027588679691,-2.1502294093246697
Taiwan,rus,RUS,0.5,0.6367999094039614,18.28623603850213,0.6330865012329311,19.299428812752893,0.6349432053184462,18.79283242562751,0.0037134081710302747,-1.013192774250765
Taiwan,cost_sensitive,Cost-Sensitive,0.01,0.8407285103703123,32.22880714971981,0.8462903714152036,31.275376547919535,0.8435094408927578,31.752091848819678,-0.005561861044891314,0.953430601800278
Taiwan,cost_sensitive,Cost-Sensitive,0.025,0.8288583771263144,30.271571408551072,0.8401399865207025,29.1454739359957,0.8344991818235085,29.708522672273386,-0.011281609394388159,1.1260974725553723
Taiwan,cost_sensitive,Cost-Sensitive,0.05,0.7954200625259827,28.632585872223366,0.8127925684032483,28.568587140349173,0.8041063154646158,28.600586506286273,-0.017372505877265576,0.06399873187419303
Taiwan,cost_sensitive,Cost-Sensitive,0.1,0.7563898223553116,26.889085911455872,0.7701297006550969,28.02106344249442,0.7632597615052044,27.45507467697514,-0.01373987829978529,-1.1319775310385474
Taiwan,cost_sensitive,Cost-Sensitive,0.15,0.7300308376227883,24.310041417913855,0.737303159114268,26.464154108940097,0.733666998368528,25.387097763426972,-0.007272321491479716,-2.154112691026242
