default_rate,limit_bal,sex,education,marriage,age,pay_0,pay_2,pay_3,pay_4,pay_5,pay_6,bill_amt1,bill_amt2,bill_amt3,bill_amt4,bill_amt5,bill_amt6,pay_amt1,pay_amt2,pay_amt3,pay_amt4,pay_amt5,pay_amt6
0.01,8.296333333333333,16.567333333333334,14.119333333333334,13.686333333333334,9.593333333333334,9.633333333333333,16.711666666666666,17.314666666666668,16.955,17.813333333333333,16.629333333333335,8.501333333333333,11.105333333333334,10.706333333333333,10.477666666666666,10.238666666666667,10.478,9.035333333333334,9.351666666666667,9.648666666666667,9.610666666666667,9.839666666666666,9.686666666666667
0.025,7.598333333333334,17.114333333333335,14.847333333333333,14.535,10.481,8.26,16.359,16.551333333333332,16.626,17.794666666666668,17.36766666666667,8.060666666666666,11.88,9.633,10.891666666666667,11.192,10.301333333333334,8.847,9.404,9.053666666666667,9.488,10.213666666666667,9.500333333333334
0.05,7.066333333333334,16.656,16.364333333333335,15.448333333333334,11.115,7.301333333333333,15.457,16.376,17.412333333333333,17.552666666666667,16.409333333333333,7.588666666666667,10.623666666666667,10.393333333333333,10.59,11.129,10.617333333333333,9.210333333333333,9.919666666666666,9.328333333333333,9.879666666666667,9.717666666666666,9.843666666666667
0.1,5.924333333333333,16.233333333333334,17.231333333333332,14.830666666666668,11.898,5.9656666666666665,14.052,16.108333333333334,16.054666666666666,16.620666666666665,16.727666666666668,7.982333333333333,11.874666666666666,10.075,10.188666666666666,11.967666666666666,11.058666666666667,9.286666666666667,9.803333333333333,9.355666666666666,10.950666666666667,10.825333333333333,10.984666666666667
0.15,5.665,16.221333333333334,17.540666666666667,14.570666666666666,12.383,4.464333333333333,13.002,15.458333333333334,15.508333333333333,16.658666666666665,16.180666666666667,6.922666666666666,11.988,10.959,10.520666666666667,12.600333333333333,12.061,9.091666666666667,9.907333333333334,10.108,10.618,11.855666666666666,11.714666666666666
0.2,5.410333333333333,15.929666666666666,17.997,14.362666666666666,12.349666666666666,3.953333333333333,12.753333333333334,15.044,15.463666666666667,16.137666666666668,15.804666666666666,7.1723333333333334,12.092333333333332,11.191,10.667333333333334,12.831,12.678,9.057,9.549666666666667,9.872333333333334,11.610666666666667,12.7,11.372333333333334
0.25,5.329666666666666,15.846333333333334,18.316,14.151666666666667,12.917333333333334,3.401,12.098,14.778333333333334,14.877,15.620666666666667,15.191666666666666,6.507,12.156333333333333,11.267333333333333,11.261666666666667,12.806,13.202666666666667,9.433,10.483333333333333,9.805666666666667,11.472666666666667,12.995666666666667,12.081
0.3,5.245333333333333,16.084333333333333,19.008,14.123,13.432333333333334,3.142,11.735333333333333,13.940666666666667,15.201,15.477333333333334,14.819666666666667,6.642333333333333,12.191666666666666,11.460666666666667,10.893,12.895333333333333,13.074666666666667,9.312,10.614333333333333,10.157333333333334,11.609333333333334,12.903666666666666,12.036666666666667
0.35,5.2123333333333335,16.078666666666667,18.389666666666667,13.784666666666666,13.384,2.9856666666666665,11.998666666666667,13.435666666666666,15.195666666666666,15.045333333333334,14.598,6.439666666666667,12.706,11.364,11.358,13.36,13.857666666666667,9.345333333333333,10.534666666666666,9.855,11.532333333333334,13.079666666666666,12.459333333333333
0.4,5.170333333333334,16.045666666666666,18.392333333333333,13.988666666666667,13.416666666666666,2.7336666666666667,11.367666666666667,13.37,14.551,14.888333333333334,14.141,6.4703333333333335,12.972,10.991666666666667,12.105,13.75,13.505333333333333,9.418666666666667,10.503,10.132666666666667,11.789,13.259333333333334,13.037666666666667
0.45,5.2363333333333335,16.349,18.67,14.603,13.375,2.4926666666666666,10.670666666666667,12.418666666666667,13.910333333333334,14.709,13.337,6.390333333333333,12.466,11.872333333333334,12.298333333333334,12.938333333333333,14.461333333333334,9.914666666666667,11.126333333333333,10.025666666666666,11.780666666666667,13.697666666666667,13.256666666666666
0.5,5.108666666666666,15.799333333333333,18.77,14.582,13.280333333333333,2.59,10.685333333333332,12.130333333333333,14.062666666666667,14.033666666666667,13.470666666666666,6.471,12.792,11.024,13.166,13.263,14.566333333333333,9.754,11.481666666666667,10.176666666666666,12.152333333333333,13.620333333333333,13.019666666666666
